"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6049","R5 - Clicking Open Source Code should take you to the source code","mobile-chrome","Mon Dec 02 14:55:45 GMT 2024","passed","Mon Dec 02 14:55:51 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","5330","K9 - Themes dropdown should display Default and user can change theme from dropdown","desktop-chrome","Sat Nov 30 11:46:01 GMT 2024","passed","Sat Nov 30 11:46:06 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4531","O9 - Highlighted border should be displayed when clicking Revert Keybindings","mobile-chrome","Mon Dec 02 14:54:53 GMT 2024","skipped","Mon Dec 02 14:54:58 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","4894","I1 - Banner Picture - Tooltip displayed","desktop-chrome","Sat Nov 30 11:43:31 GMT 2024","passed","Sat Nov 30 11:43:36 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4860","C3 - Hovering over Nav buttons should show tooltips","mobile-chrome","Mon Dec 02 14:49:56 GMT 2024","passed","Mon Dec 02 14:50:01 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","4933","I6 - Username should be displayed in the Username textbox","mobile-chrome","Mon Dec 02 14:50:37 GMT 2024","passed","Mon Dec 02 14:50:42 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4749","I6 - Username should be displayed in the Username textbox","desktop-chrome","Sat Nov 30 11:43:50 GMT 2024","passed","Sat Nov 30 11:43:55 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4897","A14 - If Stay Unlocked is toggled on, user should be redirected to enter PIN after logging off","mobile-chrome","Mon Dec 02 14:42:42 GMT 2024","passed","Mon Dec 02 14:42:47 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","6525","A12 - If incorrect pin is entered, error message should be displayed","mobile-chrome","Mon Dec 02 14:42:31 GMT 2024","passed","Mon Dec 02 14:42:37 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5179","R2 - Current version of Uplink should be displayed","mobile-chrome","Mon Dec 02 14:55:34 GMT 2024","passed","Mon Dec 02 14:55:39 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
