"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 18 21:41:06 GMT 2024","Thu Jan 18 21:41:16 GMT 2024","10342","","MacOS Tests: Friends Screen Tests","","","","Validate tooltips for Unfriend and Block buttons are displayed",""
"passed","Thu Jan 18 21:39:48 GMT 2024","Thu Jan 18 21:39:55 GMT 2024","7187","","Message Attachments Tests","","","","Send files from Browse Files - Thumbnails are displayed on modal",""
"passed","Thu Jan 18 21:38:31 GMT 2024","Thu Jan 18 21:38:45 GMT 2024","14226","","MacOS Tests: Friends Screen Tests","","","","Validate Pre Release Indicator is displayed and has correct text",""
"skipped","Thu Jan 18 21:38:31 GMT 2024","Thu Jan 18 21:38:31 GMT 2024","1","","MacOS Tests: Settings Developer Tests","","","","Settings Developer - Disable Developer Mode switch",""
"passed","Thu Jan 18 21:36:19 GMT 2024","Thu Jan 18 21:36:26 GMT 2024","7000","","MacOS Tests: Settings Audio Tests","","","","Settings Audio - Assert screen texts for Media-Message Sounds and Call Timer",""
"passed","Thu Jan 18 21:37:45 GMT 2024","Thu Jan 18 21:38:01 GMT 2024","16158","","Message Input Tests","","","","Chat User - Chat Messages containing links contents on local side",""
"passed","Thu Jan 18 21:30:52 GMT 2024","Thu Jan 18 21:31:10 GMT 2024","18661","","MacOS Tests: Files Screen Tests","","","","Click in the Folder button to take you to the selected folder",""
"passed","Thu Jan 18 21:37:00 GMT 2024","Thu Jan 18 21:37:02 GMT 2024","1964","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Disable Emoji Selector extension",""
"passed","Thu Jan 18 21:47:34 GMT 2024","Thu Jan 18 21:47:36 GMT 2024","1924","","Create Accounts and Chat Tests","","","","Chat User A - Remove user with active chat from Favorites",""
"passed","Thu Jan 18 21:37:20 GMT 2024","Thu Jan 18 21:37:27 GMT 2024","6667","","MacOS Tests: Settings Notifications Tests","","","","Settings Notifications - Validate header and description texts are correct",""
