"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 31 23:38:22 GMT 2024","Wed Jan 31 23:38:46 GMT 2024","23684","","Message Input Tests","","","","Chat User A - Message Input - User cannot send empty messages",""
"passed","Wed Jan 31 23:34:09 GMT 2024","Wed Jan 31 23:34:11 GMT 2024","2200","","Create Accounts and Chat Tests","","","","Input Bar - Click on send button will send the message to the other user",""
"passed","Wed Jan 31 23:43:02 GMT 2024","Wed Jan 31 23:43:05 GMT 2024","3239","","MacOS Tests: Create Pin and Account Tests","","","","Enter Pin Screen - Enter an empty pin",""
"passed","Wed Jan 31 23:54:19 GMT 2024","Wed Jan 31 23:54:31 GMT 2024","11242","","MacOS Tests: Chats Main Screen Tests","","","","Validate Pre Release Indicator is displayed and has correct text",""
"passed","Thu Feb 01 00:24:59 GMT 2024","Thu Feb 01 00:25:19 GMT 2024","19865","","MacOS Tests: Settings Licenses Tests","","","","Settings Licenses - Validate header/description texts and license button are present",""
"passed","Wed Jan 31 23:50:48 GMT 2024","Wed Jan 31 23:50:52 GMT 2024","3863","","MacOS Tests: Friends Screen Tests","","","","Add Friend Input - Error is displayed when the user tries to add themselves",""
"passed","Wed Jan 31 23:37:45 GMT 2024","Wed Jan 31 23:38:07 GMT 2024","22441","","Message Context Menu Tests","","","","Chat User B - Receive reaction in sent message",""
"skipped","Thu Feb 01 00:26:15 GMT 2024","Thu Feb 01 00:26:15 GMT 2024","1","","MacOS Tests: Settings Developer Tests","","","","Settings Developer - Enable Developer Mode",""
"skipped","Thu Feb 01 00:24:45 GMT 2024","Thu Feb 01 00:24:45 GMT 2024","0","","MacOS Tests: Settings About Tests","","","","Settings About - Click on Open Website",""
"passed","Wed Jan 31 23:53:33 GMT 2024","Wed Jan 31 23:53:40 GMT 2024","7141","","MacOS Tests: Friends Screen Tests","","","","Context Menu - Remove Friend",""
"passed","Wed Jan 31 23:43:07 GMT 2024","Wed Jan 31 23:43:10 GMT 2024","2539","","MacOS Tests: Create Pin and Account Tests","","","","Enter Pin Screen - Enter a valid pin and continue creating a username",""
"passed","Wed Jan 31 23:53:04 GMT 2024","Wed Jan 31 23:53:09 GMT 2024","5299","","MacOS Tests: Friends Screen Tests","","","","Validate tooltips for Unblock button is displayed",""
"passed","Wed Jan 31 23:42:55 GMT 2024","Wed Jan 31 23:42:57 GMT 2024","2458","","Message Attachments Tests","","","","Send files from Browse Files - User cannot click on send files if no files are selected",""
"passed","Wed Jan 31 23:48:41 GMT 2024","Wed Jan 31 23:48:45 GMT 2024","3970","","MacOS Tests: Settings General Tests","","","","Settings General - Validate header and description texts are correct",""
"passed","Wed Jan 31 23:34:16 GMT 2024","Wed Jan 31 23:34:18 GMT 2024","2903","","Create Accounts and Chat Tests","","","","Chat User A - Validate Chat Message Group displays username picture",""
"passed","Wed Jan 31 23:54:33 GMT 2024","Wed Jan 31 23:54:35 GMT 2024","2626","","MacOS Tests: Import Account Tests","","","","Save Recovery Seed Screen - Enter valid recovery seed and continue",""
"passed","Wed Jan 31 23:48:21 GMT 2024","Wed Jan 31 23:48:25 GMT 2024","3305","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Username - Spaces are not allowed",""
"skipped","Wed Jan 31 23:53:00 GMT 2024","Wed Jan 31 23:53:00 GMT 2024","5","","Group Chats Edit Tests","","","","Edit Group - Contents displayed in remove list are correct",""
"passed","Thu Feb 01 00:21:19 GMT 2024","Thu Feb 01 00:21:49 GMT 2024","29514","","MacOS Tests: Settings Audio Tests","","","","Settings Audio - Click on slider switches to disable the options",""
"passed","Wed Jan 31 23:52:55 GMT 2024","Wed Jan 31 23:53:04 GMT 2024","8873","","MacOS Tests: Friends Screen Tests","","","","Unfriend - Cancel outgoing friend request",""
"passed","Wed Jan 31 23:48:51 GMT 2024","Wed Jan 31 23:49:14 GMT 2024","22729","","Quick Profile Tests","","","","Chat User B - Validate contents from remote quick profile",""
"skipped","Wed Jan 31 23:53:00 GMT 2024","Wed Jan 31 23:53:00 GMT 2024","1","","Group Chats Edit Tests","","","","Edit Group - Add someone to the group - Add Chat User B again",""
"passed","Wed Jan 31 23:52:45 GMT 2024","Wed Jan 31 23:52:55 GMT 2024","9750","","MacOS Tests: Friends Screen Tests","","","","Deny incoming friend request",""
"passed","Wed Jan 31 23:49:26 GMT 2024","Wed Jan 31 23:49:27 GMT 2024","995","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Enable Emoji Selector extension",""
"passed","Wed Jan 31 23:43:39 GMT 2024","Wed Jan 31 23:43:40 GMT 2024","303","","MacOS Tests: Chats Main Screen Tests","","","","Friends Screen - Image is displayed when no friends have been added yet",""
"passed","Wed Jan 31 23:50:46 GMT 2024","Wed Jan 31 23:50:57 GMT 2024","11308","","MacOS Tests: Create Pin and Account Tests","","","","Create or Import Account - Validate screen contents and click on Create New Account",""
"passed","Wed Jan 31 23:49:27 GMT 2024","Wed Jan 31 23:49:29 GMT 2024","1948","","Quick Profile Tests","","","","Chat User A - Ensure that Chat User B is not in friends list now",""
"passed","Wed Jan 31 23:53:16 GMT 2024","Wed Jan 31 23:53:28 GMT 2024","11748","","MacOS Tests: Friends Screen Tests","","","","Context Menu - Chat with Friend",""
"passed","Wed Jan 31 23:50:25 GMT 2024","Wed Jan 31 23:50:26 GMT 2024","1453","","MacOS Tests: Friends Screen Tests","","","","User can type on user search input bar",""
"passed","Wed Jan 31 23:44:36 GMT 2024","Wed Jan 31 23:44:36 GMT 2024","699","","MacOS Tests: Files Screen Tests","","","","Upload file - Progress indicator is closed and file appears on files list",""
"passed","Thu Feb 01 00:09:50 GMT 2024","Thu Feb 01 00:10:08 GMT 2024","17465","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Assert texts for Your New Profile dialog",""
"passed","Wed Jan 31 23:48:32 GMT 2024","Wed Jan 31 23:48:32 GMT 2024","317","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Online Status - Default status is Online",""
"passed","Thu Feb 01 00:02:36 GMT 2024","Thu Feb 01 00:03:25 GMT 2024","49679","","MacOS Tests: Files Screen Tests","","","","Context Menu - File - Rename",""
"passed","Wed Jan 31 23:49:30 GMT 2024","Wed Jan 31 23:49:31 GMT 2024","1116","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Activate the switch slider for Enable Automatically",""
"skipped","Wed Jan 31 23:53:00 GMT 2024","Wed Jan 31 23:53:00 GMT 2024","3","","Group Chats Edit Tests","","","","Edit Group - Validate remote user was correctly removed from the group chat",""
"passed","Wed Jan 31 23:50:43 GMT 2024","Wed Jan 31 23:50:48 GMT 2024","5557","","MacOS Tests: Friends Screen Tests","","","","User can copy its own username using the context menu from Copy Button",""
"passed","Wed Jan 31 23:48:38 GMT 2024","Wed Jan 31 23:48:49 GMT 2024","10662","","Quick Profile Tests","","","","Chat User A - Validate contents from local quick profile",""
"skipped","Wed Jan 31 23:53:00 GMT 2024","Wed Jan 31 23:53:00 GMT 2024","2","","Group Chats Favorites and Sidebar Tests","","","","Group Chat - Add group to favorites",""
"passed","Wed Jan 31 23:50:23 GMT 2024","Wed Jan 31 23:50:23 GMT 2024","777","","MacOS Tests: Friends Screen Tests","","","","Validate Sidebar is displayed in screen",""
"passed","Wed Jan 31 23:49:36 GMT 2024","Wed Jan 31 23:49:38 GMT 2024","2597","","MacOS Tests: Settings Notifications Tests","","","","Settings Notifications - Validate header and description texts are correct",""
"passed","Wed Jan 31 23:54:01 GMT 2024","Wed Jan 31 23:54:19 GMT 2024","18348","","MacOS Tests: Create Pin and Account Tests","","","","Enter Username Screen - Enter valid username to continue",""
"passed","Thu Feb 01 00:14:38 GMT 2024","Thu Feb 01 00:14:38 GMT 2024","467","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Right Click On Copy ID Button to Copy DID",""
"passed","Wed Jan 31 23:50:09 GMT 2024","Wed Jan 31 23:50:31 GMT 2024","22231","","MacOS Tests: Create Pin and Account Tests","","","","Enter Pin Screen - Enter a pin with less than 4 characters",""
"passed","Wed Jan 31 23:53:57 GMT 2024","Wed Jan 31 23:54:04 GMT 2024","7186","","MacOS Tests: Friends Screen Tests","","","","Context Menu - Deny Incoming Request",""
"passed","Wed Jan 31 23:31:45 GMT 2024","Wed Jan 31 23:32:04 GMT 2024","18661","","Create Accounts and Chat Tests","","","","Chat User A - Create Account",""
"skipped","Wed Jan 31 23:53:00 GMT 2024","Wed Jan 31 23:53:00 GMT 2024","1","","Group Chats Favorites and Sidebar Tests","","","","Group Chat - Validate remote user received the message",""
"passed","Wed Jan 31 23:39:01 GMT 2024","Wed Jan 31 23:39:15 GMT 2024","13846","","Message Input Tests","","","","Chat Input Text - Validate texts with __ markdown are sent in bolds",""
"passed","Wed Jan 31 23:47:36 GMT 2024","Wed Jan 31 23:47:49 GMT 2024","12247","","Chat Topbar Tests","","","","Chat User A - Validate Chat Screen tooltips are displayed",""
"passed","Wed Jan 31 23:45:47 GMT 2024","Wed Jan 31 23:45:54 GMT 2024","7133","","MacOS Tests: Files Screen Tests","","","","Files - Attempt to rename a folder with existing folder name",""
