"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 06 18:13:20 GMT 2024","Wed Mar 06 18:13:21 GMT 2024","1682","","MacOS Tests: Friends Screen Tests","","","","Favorites - Remove all users from Favorites - User 2",""
"passed","Wed Mar 06 18:02:58 GMT 2024","Wed Mar 06 18:03:01 GMT 2024","3359","","MacOS Tests: Files Screen Tests","","","","Create a new folder and enter to it",""
"passed","Wed Mar 06 18:09:09 GMT 2024","Wed Mar 06 18:09:17 GMT 2024","8688","","MacOS Tests: Settings Audio Tests","","","","Settings Audio - Click on slider switches to disable the options",""
"passed","Wed Mar 06 18:08:58 GMT 2024","Wed Mar 06 18:09:01 GMT 2024","2808","","MacOS Tests: Settings Audio Tests","","","","Settings Audio - Disable switches enabled by default",""
"passed","Wed Mar 06 18:22:26 GMT 2024","Wed Mar 06 18:22:33 GMT 2024","7434","","Group Chats Tests","","","","Chat User A - Attempt to create group chat with alphanumeric chars in name",""
"passed","Wed Mar 06 18:26:25 GMT 2024","Wed Mar 06 18:26:46 GMT 2024","21561","","Group Chats Favorites and Sidebar Tests","","","","""before all"" hook for Group Chats Favorites and Sidebar Tests",""
"passed","Wed Mar 06 18:38:04 GMT 2024","Wed Mar 06 18:38:33 GMT 2024","28398","","MacOS Tests: Files Screen Tests","","","","Validate Files Info is displayed in screen",""
"passed","Wed Mar 06 18:27:49 GMT 2024","Wed Mar 06 18:27:54 GMT 2024","4882","","Group Chats Favorites and Sidebar Tests","","","","Group Chat - Validate remote user received the message",""
"passed","Wed Mar 06 18:03:54 GMT 2024","Wed Mar 06 18:03:59 GMT 2024","4851","","MacOS Tests: Files Screen Tests","","","","Context Menu - File - Download",""
"skipped","Wed Mar 06 18:07:03 GMT 2024","Wed Mar 06 18:07:03 GMT 2024","1","","Message Input Tests","","","","Chat User A - Message Input - User can type up to 1024 chars on input bar",""
"passed","Wed Mar 06 19:16:54 GMT 2024","Wed Mar 06 19:17:08 GMT 2024","13949","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Keybind Shortcuts - Validate custom keybind can be used correctly",""
"passed","Wed Mar 06 19:18:23 GMT 2024","Wed Mar 06 19:18:43 GMT 2024","19936","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Keybind Shortcuts - Validate default keybinds for Increase/Decrease Font Size are working",""
"passed","Wed Mar 06 19:15:20 GMT 2024","Wed Mar 06 19:16:10 GMT 2024","50376","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Settings Keyboard Shortcuts - Validate header and description texts are correct",""
"passed","Wed Mar 06 18:16:58 GMT 2024","Wed Mar 06 18:16:59 GMT 2024","1033","","Chat Topbar Tests","","","","""after all"" hook for Chat Topbar Tests",""
"skipped","Wed Mar 06 19:25:46 GMT 2024","Wed Mar 06 19:25:46 GMT 2024","0","","MacOS Tests: Settings Developer Tests","","","","Settings Developer - Click on Test Notification button",""
