"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 27 01:11:45 GMT 2024","Mon May 27 01:11:57 GMT 2024","11864","","MacOS Tests: Offline Friend Requests Tests","","","","Offline Friend Requests - Send Friend Request to user #1",""
"passed","Mon May 27 01:07:11 GMT 2024","Mon May 27 01:07:13 GMT 2024","2220","","MacOS Tests: Settings Message Tests","","","","Settings Messages - Validate header and description texts are correct",""
"passed","Mon May 27 01:39:13 GMT 2024","Mon May 27 01:39:25 GMT 2024","12338","","Chat Topbar Tests","","","","Pinned Messages - User can be redirected to the message when clicking on Go to message",""
"passed","Mon May 27 01:33:56 GMT 2024","Mon May 27 01:34:21 GMT 2024","25147","","Windows Tests: Settings Notifications Tests","","","","Settings Notifications - Enable only SETTINGS notifications",""
"skipped","Mon May 27 01:10:21 GMT 2024","Mon May 27 01:10:21 GMT 2024","0","","MacOS Tests: Settings Developer Tests","","","","Settings Developer - Compress and Download Cache",""
"passed","Mon May 27 01:38:18 GMT 2024","Mon May 27 01:38:25 GMT 2024","6901","","Chat Topbar Tests","","","","Pinned Messages - Pin a message with attachments",""
"passed","Mon May 27 00:59:48 GMT 2024","Mon May 27 00:59:49 GMT 2024","508","","MacOS Tests: Chats Main Screen Tests","","","","Validate Pre Release Indicator is displayed and has correct text",""
"skipped","Mon May 27 01:35:12 GMT 2024","Mon May 27 01:35:12 GMT 2024","0","","Windows Tests: Settings About Tests","","","","Settings About - Click on Open Website",""
"passed","Mon May 27 01:08:18 GMT 2024","Mon May 27 01:08:38 GMT 2024","20480","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Settings Keyboard Shortcuts - Validate default keybinds are displayed",""
"skipped","Mon May 27 01:34:41 GMT 2024","Mon May 27 01:34:41 GMT 2024","2","","Message Attachments Tests","","","","User can send several messages to scroll up on conversation",""
"passed","Mon May 27 01:09:16 GMT 2024","Mon May 27 01:09:17 GMT 2024","872","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Keybind Shortcuts - Validate default keybind for Developer Mode is working",""
"passed","Mon May 27 00:58:35 GMT 2024","Mon May 27 00:58:38 GMT 2024","3502","","MacOS Tests: Create Pin and Account Tests","","","","Enter Pin Screen - Validate warning texts are displayed on screen",""
"passed","Mon May 27 01:44:07 GMT 2024","Mon May 27 01:44:11 GMT 2024","4444","","Sidebar Chats Tests","","","","Chat User B - Wait until Chat User A sends a message",""
"passed","Mon May 27 01:07:50 GMT 2024","Mon May 27 01:07:53 GMT 2024","2770","","Friend Requests Tests","","","","Chat User A - Validate Chat Message displays timestamp and user who sent it",""
"passed","Mon May 27 01:25:52 GMT 2024","Mon May 27 01:26:09 GMT 2024","17138","","Message Attachments Tests","","","","Chat User B - Go to chat with User A",""
"passed","Mon May 27 01:10:37 GMT 2024","Mon May 27 01:10:40 GMT 2024","2929","","MacOS Tests: Import Account Tests","","","","Enter Recovery Seed - Validate Screen Contents",""
"passed","Mon May 27 00:58:09 GMT 2024","Mon May 27 00:58:40 GMT 2024","30864","","Windows Tests: Files Screen Tests","","","","Context Menu - File - Delete",""
"passed","Mon May 27 01:01:10 GMT 2024","Mon May 27 01:01:14 GMT 2024","3463","","MacOS Tests: Files Screen Tests","","","","Context Menu - File - Rename",""
"passed","Mon May 27 01:09:14 GMT 2024","Mon May 27 01:09:16 GMT 2024","1881","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Keybind Shortcuts - Validate default keybind for Open/Close Web Inspector is working",""
"passed","Mon May 27 01:18:31 GMT 2024","Mon May 27 01:18:47 GMT 2024","15322","","Message Input Tests","","","","Emoji Suggested List - Can be closed without choosing suggestion",""
"passed","Mon May 27 01:24:50 GMT 2024","Mon May 27 01:25:08 GMT 2024","17172","","Message Input Tests","","","","Chat Input Text - Validate text starting with www. is sent as link",""
"passed","Mon May 27 01:12:55 GMT 2024","Mon May 27 01:12:57 GMT 2024","1923","","MacOS Tests: Offline Friend Requests Tests","","","","Offline Messages - Topbar information",""
"passed","Mon May 27 01:11:25 GMT 2024","Mon May 27 01:11:45 GMT 2024","20028","","MacOS Tests: Offline Friend Requests Tests","","","","Offline Friend Requests - Create account user #2",""
"passed","Mon May 27 01:03:09 GMT 2024","Mon May 27 01:03:11 GMT 2024","2015","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Assert screen and placeholder texts",""
"passed","Mon May 27 01:08:05 GMT 2024","Mon May 27 01:08:06 GMT 2024","1612","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Activate the switch slider for Enable Automatically",""
"passed","Mon May 27 01:06:28 GMT 2024","Mon May 27 01:06:32 GMT 2024","3834","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Online Status - Status can be changed",""
"passed","Mon May 27 00:54:04 GMT 2024","Mon May 27 00:54:18 GMT 2024","13146","","Windows Tests: Files Screen Tests","","","","Click in the Home button should take you to Home folder",""
"passed","Mon May 27 01:12:53 GMT 2024","Mon May 27 01:12:54 GMT 2024","671","","MacOS Tests: Offline Friend Requests Tests","","","","Offline Messages - Validate Chat Message displays timestamp and user who sent it",""
"passed","Mon May 27 01:25:14 GMT 2024","Mon May 27 01:25:52 GMT 2024","37504","","Windows Tests: Settings Extensions Tests","","","","Settings Extensions - Validate that buttons are displayed in front",""
"skipped","Mon May 27 01:09:20 GMT 2024","Mon May 27 01:09:20 GMT 2024","0","","MacOS Tests: Settings Accessibility Tests","","","","Settings Audio - Click on slider switches to disable the options",""
"passed","Mon May 27 00:59:53 GMT 2024","Mon May 27 00:59:54 GMT 2024","999","","MacOS Tests: Chats Main Screen Tests","","","","Click on add someone redirects to Friends Page",""
"passed","Mon May 27 01:07:55 GMT 2024","Mon May 27 01:07:56 GMT 2024","1024","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Validate Emoji Selector extension contents",""
"passed","Mon May 27 01:00:15 GMT 2024","Mon May 27 01:00:19 GMT 2024","3749","","MacOS Tests: Files Screen Tests","","","","Create a subfolder inside the previous folder created and enter into it",""
"passed","Mon May 27 01:10:27 GMT 2024","Mon May 27 01:10:37 GMT 2024","10915","","MacOS Tests: Import Account Tests","","","","Enter Pin Screen - Clear cache, reset app and enter a valid pin",""
"skipped","Mon May 27 00:59:52 GMT 2024","Mon May 27 00:59:52 GMT 2024","0","","MacOS Tests: Chats Main Screen Tests","","","","Validate Main Nav Bar buttons tooltips are displayed",""
"passed","Mon May 27 01:08:08 GMT 2024","Mon May 27 01:08:18 GMT 2024","9980","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Settings Keyboard Shortcuts - Validate header and description texts are correct",""
"passed","Mon May 27 01:01:09 GMT 2024","Mon May 27 01:01:10 GMT 2024","1534","","MacOS Tests: Files Screen Tests","","","","Context Menu - Folder - Delete",""
"passed","Mon May 27 01:24:24 GMT 2024","Mon May 27 01:24:50 GMT 2024","26590","","Message Input Tests","","","","Chat Input Text - Validate text starting with https:// is sent as link",""
"passed","Mon May 27 00:59:54 GMT 2024","Mon May 27 00:59:54 GMT 2024","454","","MacOS Tests: Chats Main Screen Tests","","","","Friends Screen - Image is displayed when no friends have been added yet",""
"passed","Mon May 27 01:06:54 GMT 2024","Mon May 27 01:06:55 GMT 2024","1020","","MacOS Tests: Settings General Tests","","","","Settings General - Change theme to Light Theme",""
"passed","Mon May 27 01:33:30 GMT 2024","Mon May 27 01:33:56 GMT 2024","25614","","Windows Tests: Settings Notifications Tests","","","","Settings Notifications - Enable only MESSAGES notifications",""
"passed","Mon May 27 01:23:52 GMT 2024","Mon May 27 01:24:24 GMT 2024","31377","","Message Input Tests","","","","Chat Input Text - Validate message with code markdown is received in expected format",""
"passed","Mon May 27 01:29:08 GMT 2024","Mon May 27 01:29:22 GMT 2024","13621","","Windows Tests: Settings Keyboard Shortcuts Tests","","","","Keybind Shortcuts - Validate custom keybind can be used correctly",""
"skipped","Mon May 27 01:56:11 GMT 2024","Mon May 27 01:56:11 GMT 2024","2","","Group Chats Multiple Users Tests","","","","Group Chats Sidebar - User C sends Friend Request to User A",""
"passed","Mon May 27 01:18:06 GMT 2024","Mon May 27 01:18:31 GMT 2024","25108","","Message Input Tests","","","","Emoji Suggested List - Displays expected data",""
"skipped","Mon May 27 00:38:55 GMT 2024","Mon May 27 00:38:55 GMT 2024","0","","Windows Tests: Create Pin and Account Tests","","","","Enter Pin Screen - Enter a pin with spaces",""
"passed","Mon May 27 00:41:57 GMT 2024","Mon May 27 00:42:57 GMT 2024","60122","","Windows Tests: Create Pin and Account Tests","","","","Save Recovery Seed Screen - Contents validation",""
"passed","Mon May 27 01:34:21 GMT 2024","Mon May 27 01:35:12 GMT 2024","51358","","Windows Tests: Settings About Tests","","","","Settings About - Validate header and description texts from settings sections",""
"passed","Mon May 27 01:10:35 GMT 2024","Mon May 27 01:10:41 GMT 2024","6416","","Chat Replies Tests","","","","Chat User A - Validate reply message group reply and message replied",""
"passed","Mon May 27 01:50:14 GMT 2024","Mon May 27 01:50:26 GMT 2024","12686","","Group Chats Edit Tests","","","","Group Chat Creator - Attempt to change Group Name for a name containing non-alphanumeric characters",""
"passed","Mon May 27 01:06:28 GMT 2024","Mon May 27 01:06:28 GMT 2024","436","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Online Status - Default status is Online",""
"passed","Mon May 27 01:03:11 GMT 2024","Mon May 27 01:03:33 GMT 2024","21586","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Profile picture - Display Crop Tool Modal",""
"passed","Mon May 27 01:08:58 GMT 2024","Mon May 27 01:08:59 GMT 2024","1577","","Friend Requests Tests","","","","Chat User B - Validate User Status changes are seen in remote side",""
"passed","Mon May 27 01:42:15 GMT 2024","Mon May 27 01:42:20 GMT 2024","4749","","Quick Profile Tests","","","","Chat User B - Ensure that Chat User B is not in friends list now",""
"passed","Mon May 27 01:05:40 GMT 2024","Mon May 27 01:05:47 GMT 2024","6860","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Click On Copy ID Button",""
"passed","Mon May 27 01:00:40 GMT 2024","Mon May 27 01:01:04 GMT 2024","23238","","MacOS Tests: Files Screen Tests","","","","Upload file - Click on add file and select file",""
"passed","Mon May 27 00:41:16 GMT 2024","Mon May 27 00:41:32 GMT 2024","16850","","Windows Tests: Create Pin and Account Tests","","","","Enter Username Screen - Username with non-alphanumeric characters",""
