"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4662","F3, F4 - Amount of Free and Total should appear in Toolbar","mobile-chrome","Wed Dec 04 18:55:41 GMT 2024","skipped","Wed Dec 04 18:55:46 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5674","T7 - Highlighted border should appear around Clear State when clicked","mobile-chrome","Wed Dec 04 18:55:30 GMT 2024","passed","Wed Dec 04 18:55:35 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","5488","T1, T2 - Clicking Exit Devmode should exit user out of Devmode","mobile-chrome","Wed Dec 04 18:55:07 GMT 2024","passed","Wed Dec 04 18:55:13 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","5278","F7 - User can create new folders on root","desktop-chrome","Wed Dec 04 18:56:21 GMT 2024","passed","Wed Dec 04 18:56:26 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5020","M6 - User should be able to toggle on and off Interface Sounds","mobile-chrome","Wed Dec 04 18:52:48 GMT 2024","passed","Wed Dec 04 18:52:53 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","4404","A13 - If Stay Unlocked is toggled off, user be redirected to enter PIN when refreshing page","desktop-chrome","Wed Dec 04 18:41:29 GMT 2024","passed","Wed Dec 04 18:41:33 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","14509","A1, A9, A11 - Enter valid PIN redirects to Main Page","desktop-chrome","Wed Dec 04 18:40:46 GMT 2024","passed","Wed Dec 04 18:41:01 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4917","N1 - User should land on Installed when navigating to this page","mobile-chrome","Wed Dec 04 18:53:13 GMT 2024","passed","Wed Dec 04 18:53:18 GMT 2024","Settings Extensions Tests","12-settings-extensions.spec.ts","",""
"","5245","I12 - Highlighted border should appear when clicked into the username textbox","mobile-chrome","Wed Dec 04 18:49:54 GMT 2024","passed","Wed Dec 04 18:49:59 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5276","L1 - User should be able to toggle on and off emoji conversion","desktop-chrome","Wed Dec 04 18:52:29 GMT 2024","passed","Wed Dec 04 18:52:34 GMT 2024","Settings Messages Tests","10-settings-messages.spec.ts","",""
"","3441","A4 - Clicking red reset button should erase any inputs made","desktop-chrome","Wed Dec 04 18:41:07 GMT 2024","passed","Wed Dec 04 18:41:11 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5112","M3 and M4 - Output device dropdown and output volume indicator should display","desktop-chrome","Wed Dec 04 18:52:50 GMT 2024","passed","Wed Dec 04 18:52:55 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
