"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 26 21:21:51 GMT 2024","Fri Jan 26 21:21:59 GMT 2024","8730","","MacOS Tests: Create Pin and Account Tests","","","","Save Recovery Seed Screen - User can go back to previous screen",""
"passed","Fri Jan 26 21:53:01 GMT 2024","Fri Jan 26 21:53:13 GMT 2024","11720","","MacOS Tests: Friends Screen Tests","","","","User can copy its own username using the context menu from Copy Button",""
"passed","Fri Jan 26 21:24:02 GMT 2024","Fri Jan 26 21:24:09 GMT 2024","7201","","Message Context Menu Tests","","","","Chat User A - React to received message",""
"skipped","Fri Jan 26 21:50:01 GMT 2024","Fri Jan 26 21:50:01 GMT 2024","0","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Open Extensions Folder",""
"skipped","Fri Jan 26 21:19:51 GMT 2024","Fri Jan 26 21:19:51 GMT 2024","1","","MacOS Tests: Create Pin and Account Tests","","","","Enter Pin Screen -  - Help Button Tooltip",""
"passed","Fri Jan 26 21:30:00 GMT 2024","Fri Jan 26 21:30:00 GMT 2024","1","","Message Attachments Tests","","","","Send files from Browse Files - Send files button shows 0/8 files if no files are selected",""
"passed","Fri Jan 26 21:22:45 GMT 2024","Fri Jan 26 21:23:13 GMT 2024","28709","","Message Context Menu Tests","","","","Chat User A - Send two messages to Chat User B",""
"passed","Fri Jan 26 21:34:04 GMT 2024","Fri Jan 26 21:34:16 GMT 2024","12052","","Message Attachments Tests","","","","Receive Files on Chats - Received Message with Attachment - Text Message contents",""
"passed","Fri Jan 26 21:39:25 GMT 2024","Fri Jan 26 21:39:30 GMT 2024","4476","","MacOS Tests: Create Pin and Account Tests","","","","Enter Username Screen - Enter valid username to continue",""
"passed","Fri Jan 26 21:36:24 GMT 2024","Fri Jan 26 21:36:32 GMT 2024","7318","","Chat Topbar Tests","","","","Pinned Messages - User can be redirected to the message when clicking on Go to message",""
