"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4770","I7 - Clicking shortID should copy DID into clipboard","desktop-chrome","Fri Dec 06 20:35:29 GMT 2024","passed","Fri Dec 06 20:35:34 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","1","K18 - Default Profile Picture Style dropdown should show expected default profile picture styles","mobile-chrome","Fri Dec 06 20:40:17 GMT 2024","skipped","Fri Dec 06 20:40:17 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5327","I15, I16 - User should be able to change Status Message and see toast notification for update","desktop-chrome","Fri Dec 06 20:36:03 GMT 2024","passed","Fri Dec 06 20:36:09 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","2503","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked","desktop-chrome","Fri Dec 06 20:26:48 GMT 2024","passed","Fri Dec 06 20:26:50 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4909","I8 - Short ID Context menu should allow to copy DID or Short ID intoto clipboard","desktop-chrome","Fri Dec 06 20:35:34 GMT 2024","passed","Fri Dec 06 20:35:39 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","6711","I15, I16 - User should be able to change Status Message and see toast notification for update","mobile-chrome","Fri Dec 06 20:38:02 GMT 2024","passed","Fri Dec 06 20:38:09 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5250","F14 - If user upload the same file again, file is uploaded but with different filename","desktop-chrome","Fri Dec 06 20:42:18 GMT 2024","passed","Fri Dec 06 20:42:23 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5956","T8 - Clicking Test Voice State should open debug voice page","desktop-chrome","Fri Dec 06 20:41:22 GMT 2024","passed","Fri Dec 06 20:41:28 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","4773","O2, 04 - Clicking a key should activate the Recorded Keys - User can save keybind","mobile-chrome","Fri Dec 06 20:41:35 GMT 2024","skipped","Fri Dec 06 20:41:40 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","23454","B49 and B56 - Chats Tests - Multiple messages testing - Scroll to bottom and Go to pin message buttons","desktop-chrome","Fri Dec 06 20:30:07 GMT 2024","passed","Fri Dec 06 20:30:30 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","8394","H22, H23, H24, H25 - Invalid attempts for sending friend request","desktop-chrome","Fri Dec 06 20:27:54 GMT 2024","passed","Fri Dec 06 20:28:02 GMT 2024","Friends tests","02-friends-one-instance.spec.ts","",""
"","2175","A6, A7 - Scramble Keypad will change the order of pin input buttons","mobile-chrome","Fri Dec 06 20:27:12 GMT 2024","passed","Fri Dec 06 20:27:14 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4763","I13 - Error message should appear if user tries to input chars that are not allowed or exceeds chars amount","desktop-chrome","Fri Dec 06 20:35:54 GMT 2024","passed","Fri Dec 06 20:35:59 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","13517","H7, H20 - User can send a friend request and remote user can deny it","desktop-chrome","Fri Dec 06 20:28:37 GMT 2024","passed","Fri Dec 06 20:28:51 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5882","K1 - Language dropdown should display English","mobile-chrome","Fri Dec 06 20:39:11 GMT 2024","passed","Fri Dec 06 20:39:17 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4767","O3 - Action dropdown should display correct keybind actions","mobile-chrome","Fri Dec 06 20:41:40 GMT 2024","skipped","Fri Dec 06 20:41:44 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","5622","L3 - User should be able to toggle on and off emoji Spam/Bot detection & rejection","mobile-chrome","Fri Dec 06 20:40:34 GMT 2024","passed","Fri Dec 06 20:40:40 GMT 2024","Settings Messages Tests","10-settings-messages.spec.ts","",""
"","5526","R4 - Clicking Open Website should take you to the Uplink website","desktop-chrome","Fri Dec 06 20:40:23 GMT 2024","passed","Fri Dec 06 20:40:28 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
