"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 31 18:38:41 GMT 2024","Fri May 31 18:38:54 GMT 2024","13035","","Message Input Tests","","","","Chat Input Text - Code Markdown - User can copy the message from the code block",""
"passed","Fri May 31 18:52:22 GMT 2024","Fri May 31 18:52:25 GMT 2024","2297","","Quick Profile Tests","","","","Chat User A - Validate message from User B was received",""
"passed","Fri May 31 19:27:24 GMT 2024","Fri May 31 19:27:51 GMT 2024","26560","","Windows Tests: Settings Notifications Tests","","","","Settings Notifications - Enable only SETTINGS notifications",""
"passed","Fri May 31 18:58:47 GMT 2024","Fri May 31 18:59:15 GMT 2024","28014","","Group Chats Tests","","","","Group Chat - User A sends a message in group chat",""
"passed","Fri May 31 18:36:57 GMT 2024","Fri May 31 18:37:01 GMT 2024","4233","","MacOS Tests: Create Pin and Account Tests","","","","Save Recovery Seed Screen - Contents validation",""
"skipped","Fri May 31 19:06:25 GMT 2024","Fri May 31 19:06:25 GMT 2024","1","","Group Chats Multiple Users Tests","","","","Group Chats Sidebar - User A accepts Friend Request from User C",""
"skipped","Fri May 31 18:47:35 GMT 2024","Fri May 31 18:47:35 GMT 2024","0","","MacOS Tests: Settings Developer Tests","","","","Settings Developer - Clear Cache",""
"passed","Fri May 31 18:33:05 GMT 2024","Fri May 31 18:34:21 GMT 2024","76686","","Message Input Tests","","","","Chat User B - Message Input - User cannot send empty messages",""
"passed","Fri May 31 19:04:26 GMT 2024","Fri May 31 19:04:42 GMT 2024","16815","","Group Chats Favorites and Sidebar Tests","","","","Group Chat - Send message to the group with User B",""
"passed","Fri May 31 18:51:31 GMT 2024","Fri May 31 18:51:53 GMT 2024","21354","","Chat Topbar Tests","","","","Pinned Messages - Pinned message with attachment shows icon, extension, filename and metadata",""
"passed","Fri May 31 18:25:12 GMT 2024","Fri May 31 18:25:14 GMT 2024","1773","","Friend Requests Tests","","","","Chat User B - Validate Chat Message received displays timestamp and user who sent it",""
"passed","Fri May 31 18:37:27 GMT 2024","Fri May 31 18:37:28 GMT 2024","853","","MacOS Tests: Chats Main Screen Tests","","","","Validate Sidebar is displayed in screen",""
