"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4663","I13 - Error message should appear if user tries to input chars that are not allowed or exceeds chars amount","desktop-chrome","Tue Dec 17 19:32:50 GMT 2024","passed","Tue Dec 17 19:32:55 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","16137","B18 and B19, B23 to B25 - Chats Context Menu tests","mobile-chrome","Tue Dec 17 19:27:49 GMT 2024","passed","Tue Dec 17 19:28:05 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4984","K16 - Selected Emoji Font should be applied everywhere throughout the app","mobile-chrome","Tue Dec 17 19:35:00 GMT 2024","passed","Tue Dec 17 19:35:05 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4981","C4 - Clicking hamburger button should collapse sidebar","desktop-chrome","Tue Dec 17 19:31:50 GMT 2024","passed","Tue Dec 17 19:31:55 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","4541","O3 - Action dropdown should display correct keybind actions","desktop-chrome","Tue Dec 17 19:36:00 GMT 2024","passed","Tue Dec 17 19:36:04 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","6525","H1, H2, H3, H4, H5, H8 - Navigate through friends pages and validate UI elements","desktop-chrome","Tue Dec 17 19:25:22 GMT 2024","passed","Tue Dec 17 19:25:29 GMT 2024","Friends tests","02-friends-one-instance.spec.ts","",""
"","20998","B67 - Sending and receiving GIFs and gif picker tests","mobile-chrome","Tue Dec 17 19:29:30 GMT 2024","passed","Tue Dec 17 19:29:51 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","2588","A4 - Clicking red reset button should erase any inputs made","desktop-chrome","Tue Dec 17 19:24:36 GMT 2024","passed","Tue Dec 17 19:24:38 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4499","C1 - Clicking Create Chat should open modal with option for Group Name and Group Members","desktop-chrome","Tue Dec 17 19:31:37 GMT 2024","passed","Tue Dec 17 19:31:41 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","6033","K14 - User should be able to add additional custom CSS to the application","mobile-chrome","Tue Dec 17 19:34:54 GMT 2024","passed","Tue Dec 17 19:35:00 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
