"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 17:15:49 GMT 2024","Tue Jan 02 17:16:38 GMT 2024","49113","","Windows Tests: Settings Profile Tests","","","","Settings Profile - Profile Picture - Crop Image and add profile picture",""
"passed","Tue Jan 02 17:01:41 GMT 2024","Tue Jan 02 17:01:44 GMT 2024","2868","","MacOS Tests: Settings Accessibility Tests","","","","Settings Accessibility - Assert screen texts",""
"skipped","Tue Jan 02 16:50:56 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","0","","Sidebar Chats Tests","","","","Chat User A - Sidebar - Context Menu - Clear Unreads",""
"skipped","Tue Jan 02 17:41:45 GMT 2024","Tue Jan 02 17:41:45 GMT 2024","1","","Windows Tests: Settings Developer Tests","","","","Settings Developer - Compress and Download Cache",""
"skipped","Tue Jan 02 16:50:56 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","1","","Group Chats Edit Tests","","","","Chat User B - You are not the group creator tooltip is displayed",""
"skipped","Tue Jan 02 16:47:51 GMT 2024","Tue Jan 02 16:47:51 GMT 2024","0","","MacOS Tests: Create Pin and Account Tests","","","","Unlock Screen - Help Button Tooltip",""
"skipped","Tue Jan 02 17:41:45 GMT 2024","Tue Jan 02 17:41:45 GMT 2024","0","","Windows Tests: Settings Developer Tests","","","","Settings Developer - Disable Save Logs switch",""
"skipped","Tue Jan 02 16:50:56 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","0","","Sidebar Chats Tests","","","","Chat User A - Chats Sidebar is hidden when entering to Settings Screen",""
"passed","Tue Jan 02 17:00:32 GMT 2024","Tue Jan 02 17:00:37 GMT 2024","4675","","MacOS Tests: Settings Audio Tests","","","","Settings Audio - Assert screen texts for Echo Cancellation and Interface Sounds",""
"passed","Tue Jan 02 17:39:34 GMT 2024","Tue Jan 02 17:41:31 GMT 2024","116935","","Windows Tests: Settings Developer Tests","","","","Settings Developer - Validate headers and descriptions from Settings Sections",""
"passed","Tue Jan 02 17:07:53 GMT 2024","Tue Jan 02 17:08:04 GMT 2024","11041","","Windows Tests: Files Screen Tests","","","","Files - File Size Indicators without files shows GB Max and 0 bytes as current space",""
"passed","Tue Jan 02 16:46:44 GMT 2024","Tue Jan 02 16:46:45 GMT 2024","874","","Create Accounts and Chat Tests","","","","Input Bar - Chars Counter on Input Bar displays 0/1024 before typing a text",""
"skipped","Tue Jan 02 16:50:56 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","1","","Group Chats Favorites and Sidebar Tests","","","","Group Chat - Sidebar - Deleted group is not shown on remote side",""
"passed","Tue Jan 02 16:53:18 GMT 2024","Tue Jan 02 16:53:22 GMT 2024","3234","","MacOS Tests: Settings Profile Tests","","","","Validate Pre Release Indicator is displayed and has correct text",""
"skipped","Tue Jan 02 16:50:56 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","0","","Message Input Tests","","","","Chat User - Chat Messages containing links contents on remote side",""
"passed","Tue Jan 02 17:01:21 GMT 2024","Tue Jan 02 17:01:24 GMT 2024","2835","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Validate Emoji Selector extension contents",""
"skipped","Tue Jan 02 17:23:43 GMT 2024","Tue Jan 02 17:23:43 GMT 2024","1","","Windows Tests: Settings General Tests","","","","Settings General - Change font dropdown selection",""
"passed","Tue Jan 02 16:48:39 GMT 2024","Tue Jan 02 16:48:40 GMT 2024","950","","MacOS Tests: Chats Main Screen Tests","","","","Welcome Screen - Welcome Image is displayed when no conversations are available",""
"skipped","Tue Jan 02 16:50:56 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","1","","Group Chats Edit Tests","","","","Edit Group - Contents displayed in remove list are correct",""
"passed","Tue Jan 02 17:01:46 GMT 2024","Tue Jan 02 17:01:47 GMT 2024","1850","","MacOS Tests: Settings Accessibility Tests","","","","Settings Audio - Click on slider switches to disable the options",""
"passed","Tue Jan 02 17:01:49 GMT 2024","Tue Jan 02 17:01:56 GMT 2024","7625","","MacOS Tests: Settings Notifications Tests","","","","Settings Notifications - Validate header and description texts are correct",""
"passed","Tue Jan 02 17:01:39 GMT 2024","Tue Jan 02 17:01:41 GMT 2024","2266","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Deactivate the switch slider for Enable Automatically",""
"passed","Tue Jan 02 16:49:29 GMT 2024","Tue Jan 02 16:49:33 GMT 2024","3774","","Message Context Menu Tests","","","","Chat User A - Context Menu - Copy Text from Message Sent",""
"passed","Tue Jan 02 17:01:44 GMT 2024","Tue Jan 02 17:01:46 GMT 2024","1918","","MacOS Tests: Settings Accessibility Tests","","","","Settings Accessibility - Click on slider switch to enable Open Dyslexic option",""
"skipped","Tue Jan 02 16:50:56 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","0","","Sidebar Chats Tests","","","","Chat User B - Validate button badge displays the number of incoming requests",""
"skipped","Tue Jan 02 16:50:23 GMT 2024","Tue Jan 02 16:50:23 GMT 2024","1","","MacOS Tests: Files Screen Tests","","","","Upload file - Validate progress indicator",""
"passed","Tue Jan 02 16:50:50 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","5946","","Message Context Menu Tests","","","","Chat User B - Users can add a new reaction to a message already containing reactions",""
"skipped","Tue Jan 02 16:50:56 GMT 2024","Tue Jan 02 16:50:56 GMT 2024","0","","Message Attachments Tests","","","","Send files from Browse Files - Message sent with attachments is shown on local side",""
"skipped","Tue Jan 02 17:23:43 GMT 2024","Tue Jan 02 17:23:43 GMT 2024","1","","Windows Tests: Settings General Tests","","","","Settings General - Switch back language to EN-US",""
"passed","Tue Jan 02 17:07:03 GMT 2024","Tue Jan 02 17:07:28 GMT 2024","24675","","Windows Tests: Files Screen Tests","","","","Context Menu - File - Download",""
"passed","Tue Jan 02 16:45:29 GMT 2024","Tue Jan 02 16:46:00 GMT 2024","31758","","Create Accounts and Chat Tests","","","","Chat User B - Create Account",""
