"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 01 16:50:48 GMT 2024","Thu Feb 01 16:51:04 GMT 2024","15760","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Profile picture - Display Crop Tool Modal",""
"passed","Thu Feb 01 16:48:33 GMT 2024","Thu Feb 01 16:48:37 GMT 2024","4341","","MacOS Tests: Chats Main Screen Tests","","","","Slimbar - User can click on buttons from main navigation on slimbar",""
"skipped","Thu Feb 01 16:55:06 GMT 2024","Thu Feb 01 16:55:06 GMT 2024","0","","MacOS Tests: Settings Developer Tests","","","","Settings Developer - Print State button",""
"passed","Thu Feb 01 16:49:06 GMT 2024","Thu Feb 01 16:49:27 GMT 2024","21587","","MacOS Tests: Files Screen Tests","","","","Upload file - Click on add file and select file",""
"skipped","Thu Feb 01 17:32:41 GMT 2024","Thu Feb 01 17:32:41 GMT 2024","0","","MacOS Tests: Settings General Tests","","","","Settings General - Return theme to Dark Theme",""
"passed","Thu Feb 01 16:48:08 GMT 2024","Thu Feb 01 16:48:10 GMT 2024","2443","","Create Accounts and Chat Tests","","","","Chat User A - Settings General - Reduce font size",""
"passed","Thu Feb 01 16:56:56 GMT 2024","Thu Feb 01 16:56:58 GMT 2024","1898","","MacOS Tests: Friends Screen Tests","","","","Go to Chat with Friend from Friends List",""
"passed","Thu Feb 01 16:54:05 GMT 2024","Thu Feb 01 16:54:07 GMT 2024","2227","","MacOS Tests: Settings Audio Tests","","","","Settings Audio - Disable switches enabled by default",""
"passed","Thu Feb 01 16:59:58 GMT 2024","Thu Feb 01 17:00:07 GMT 2024","9251","","Message Attachments Tests","","","","Send files from Browse Files - Message sent with attachments is shown on remote side",""
"passed","Thu Feb 01 17:36:31 GMT 2024","Thu Feb 01 17:36:46 GMT 2024","15514","","MacOS Tests: Settings Notifications Tests","","","","Settings Notifications - Enable again all notifications by switching ENABLED toggle to on",""
"passed","Thu Feb 01 17:35:21 GMT 2024","Thu Feb 01 17:35:33 GMT 2024","12153","","MacOS Tests: Settings Accessibility Tests","","","","Settings Accessibility - Assert screen texts",""
"passed","Thu Feb 01 17:01:27 GMT 2024","Thu Feb 01 17:02:51 GMT 2024","83719","","Message Attachments Tests","","","","Send File from Add Files - Select a file and send message with attachment",""
