"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","MacOS Tests: Files Screen Tests","","0","0","24","2","0"
"","Windows Tests: Files Screen Tests","","0","0","24","2","0"
"","MacOS Tests: Create Pin and Account Tests","","0","0","13","3","0"
"","Message Input Tests","","0","0","9","9","0"
"","MacOS Tests: Chats Main Screen Tests","","0","0","9","2","0"
"","Message Attachments Tests","","0","1","5","0","0"
"","Windows Tests: Chats Main Screen Tests","","0","0","9","2","0"
"","Create Accounts and Chat Tests","","0","0","25","0","0"
"","Message Context Menu Tests","","1","0","11","0","0"
"","Windows Tests: Create Pin and Account Tests","","0","0","13","3","0"
"","Chat Replies Tests","","0","0","9","0","0"
"","MacOS Tests: Settings Profile Tests","","0","1","17","0","0"
"","Windows Tests: Settings Profile Tests","","0","0","11","0","0"
