"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 20:56:37 GMT 2024","Tue Oct 22 20:56:42 GMT 2024","4648","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A16 - Default identicon profile image is assigned to new user if user does not setup a custom profile picture",""
"passed","Tue Oct 22 20:56:47 GMT 2024","Tue Oct 22 20:57:03 GMT 2024","15572","mobile-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","H15 - User should be removed from friends list after clicking unfriend",""
"passed","Tue Oct 22 21:08:52 GMT 2024","Tue Oct 22 21:08:57 GMT 2024","4824","mobile-chrome","16-settings-notifications.spec.ts","Settings Notifications Tests","","","Q4 - User should be able to toggle on/off Settings Notifications",""
"passed","Tue Oct 22 20:58:49 GMT 2024","Tue Oct 22 20:59:06 GMT 2024","16810","desktop-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","C11, C12, C16, C17 and C19 - Chat Sidebar tests",""
"passed","Tue Oct 22 21:08:14 GMT 2024","Tue Oct 22 21:08:19 GMT 2024","4907","desktop-chrome","16-settings-notifications.spec.ts","Settings Notifications Tests","","","Q4 - User should be able to toggle on/off Settings Notifications",""
"passed","Tue Oct 22 20:56:48 GMT 2024","Tue Oct 22 20:56:54 GMT 2024","5166","desktop-chrome","02-friends-one-instance.spec.ts","Friends tests","","","H10, H27, H28, H29 - Copy Button Tests",""
"skipped","Tue Oct 22 21:08:22 GMT 2024","Tue Oct 22 21:08:27 GMT 2024","4485","mobile-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O9 - Highlighted border should be displayed when clicking Revert Keybindings",""
"passed","Tue Oct 22 21:02:52 GMT 2024","Tue Oct 22 21:02:56 GMT 2024","4633","desktop-chrome","05-chats-sidebar.spec.ts","Chats Sidebar Tests","","","C1 - Clicking Create Chat should open modal with option for Group Name and Group Members",""
"passed","Tue Oct 22 21:05:16 GMT 2024","Tue Oct 22 21:05:21 GMT 2024","5541","mobile-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I18 - Error message should appear if user inputs chars that are not allowed or exceeds limit",""
"passed","Tue Oct 22 21:09:34 GMT 2024","Tue Oct 22 21:09:39 GMT 2024","4755","desktop-chrome","24-files.spec.ts","Files Page Tests","","","F3, F4 - Amount of Free and Total should appear in Toolbar",""
"passed","Tue Oct 22 21:02:54 GMT 2024","Tue Oct 22 21:03:32 GMT 2024","38755","mobile-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","Videocall testing between two users - mute, unmute, fullscreen, expand/collapse call",""
"passed","Tue Oct 22 21:05:23 GMT 2024","Tue Oct 22 21:05:31 GMT 2024","7714","desktop-chrome","09-settings-customizations.spec.ts","Settings Customization Tests","","","K6, K7 - Font size should have a maximum of 1.50 and can be applied correctly everywhere through the app",""
"passed","Tue Oct 22 21:07:13 GMT 2024","Tue Oct 22 21:07:18 GMT 2024","5009","desktop-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O1, 06 - Message at top of page and custom keybinds listed correctly",""
"passed","Tue Oct 22 21:05:00 GMT 2024","Tue Oct 22 21:05:05 GMT 2024","5139","mobile-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I14 - Highlighted border should appear when user is clicked into Status textbox",""
"passed","Tue Oct 22 21:08:09 GMT 2024","Tue Oct 22 21:08:14 GMT 2024","5058","desktop-chrome","16-settings-notifications.spec.ts","Settings Notifications Tests","","","Q3 - User should be able to toggle on/off Message Notifications",""
"passed","Tue Oct 22 20:58:52 GMT 2024","Tue Oct 22 20:59:48 GMT 2024","56611","mobile-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","B49 and B56 - Chats Tests - Multiple messages testing - Scroll to bottom and Go to pin message buttons",""
"passed","Tue Oct 22 21:10:09 GMT 2024","Tue Oct 22 21:10:14 GMT 2024","4702","mobile-chrome","24-files.spec.ts","Files Page Tests","","","F3, F4 - Amount of Free and Total should appear in Toolbar",""
"passed","Tue Oct 22 21:03:41 GMT 2024","Tue Oct 22 21:03:45 GMT 2024","4594","desktop-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I6 - Username should be displayed in the Username textbox",""
"passed","Tue Oct 22 20:55:44 GMT 2024","Tue Oct 22 20:55:48 GMT 2024","3438","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A3 - Pin cannot have more than 8 digits",""
"passed","Tue Oct 22 21:05:11 GMT 2024","Tue Oct 22 21:05:16 GMT 2024","4930","mobile-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I17 - All text in StatusMessage should be selected after clicking into the text field a single time",""
"passed","Tue Oct 22 21:07:30 GMT 2024","Tue Oct 22 21:07:35 GMT 2024","4859","mobile-chrome","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M7 - User should be able to toggle on and off Control Sounds",""
"passed","Tue Oct 22 21:08:52 GMT 2024","Tue Oct 22 21:08:59 GMT 2024","6488","desktop-chrome","19-settings-licenses.spec.ts","Settings Licenses Tests","","","S1 - Clicking View License should take user to our licenses page",""
"passed","Tue Oct 22 21:07:24 GMT 2024","Tue Oct 22 21:07:29 GMT 2024","4842","desktop-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O3 - Action dropdown should display correct keybind actions",""
"passed","Tue Oct 22 20:56:04 GMT 2024","Tue Oct 22 20:56:06 GMT 2024","2093","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked",""
"skipped","Tue Oct 22 20:59:48 GMT 2024","Tue Oct 22 20:59:48 GMT 2024","0","mobile-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","B8 to B14 - Quick Profile Local - Updating username, status, banner and profile picture",""
"passed","Tue Oct 22 20:55:55 GMT 2024","Tue Oct 22 20:56:02 GMT 2024","6538","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A8 - If Stay Unlocked is toggled on, user should bypass PIN page when logging in",""
"passed","Tue Oct 22 21:00:13 GMT 2024","Tue Oct 22 21:00:31 GMT 2024","17891","desktop-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","B22 and B50 - Reaction Tests",""
"passed","Tue Oct 22 20:55:48 GMT 2024","Tue Oct 22 20:55:51 GMT 2024","2941","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A4 - Clicking red reset button should erase any inputs made",""
