"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","T4 - Clicking Clear State should clear users state","mobile-chrome","Fri Dec 06 17:39:46 GMT 2024","skipped","Fri Dec 06 17:39:46 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","5054","K14 - User should be able to add additional custom CSS to the application","desktop-chrome","Fri Dec 06 17:33:39 GMT 2024","passed","Fri Dec 06 17:33:44 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","6315","C5, C6, C7, C8, C9 - Nav bar buttons should redirect to correct page","mobile-chrome","Fri Dec 06 17:32:58 GMT 2024","passed","Fri Dec 06 17:33:04 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","5541","I4 - Clicking upload picture on Profile picture should open File Browser","mobile-chrome","Fri Dec 06 17:33:20 GMT 2024","passed","Fri Dec 06 17:33:26 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5619","M5 - User should be able to toggle on and off Echo Cancellation","mobile-chrome","Fri Dec 06 17:37:06 GMT 2024","passed","Fri Dec 06 17:37:11 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","6460","K13 - Selected primary color should be applied throughout the entire app","mobile-chrome","Fri Dec 06 17:36:14 GMT 2024","passed","Fri Dec 06 17:36:21 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5753","I21 - Clicking Reveal Phrase should display the users Recovery Phrases","mobile-chrome","Fri Dec 06 17:34:47 GMT 2024","passed","Fri Dec 06 17:34:52 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4692","F7 - User can create new folders on root","mobile-chrome","Fri Dec 06 17:40:25 GMT 2024","skipped","Fri Dec 06 17:40:30 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5481","M1 and M2 - Input dropdown and input volume indicator should display","mobile-chrome","Fri Dec 06 17:36:55 GMT 2024","passed","Fri Dec 06 17:37:00 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","5655","I14 - Highlighted border should appear when user is clicked into Status textbox","mobile-chrome","Fri Dec 06 17:34:11 GMT 2024","passed","Fri Dec 06 17:34:17 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
