"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21405","B49 and B56 - Chats Tests - Multiple messages testing - Scroll to bottom and Go to pin message buttons","mobile-chrome","Tue Dec 03 23:39:35 GMT 2024","passed","Tue Dec 03 23:39:57 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4720","F7 - User can create new folders on root","desktop-chrome","Tue Dec 03 23:51:01 GMT 2024","passed","Tue Dec 03 23:51:06 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","4801","K19 - Default Profile Picture Style selected should be applied correctly in the app","desktop-chrome","Tue Dec 03 23:47:29 GMT 2024","passed","Tue Dec 03 23:47:34 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4624","F3, F4 - Amount of Free and Total should appear in Toolbar","desktop-chrome","Tue Dec 03 23:50:47 GMT 2024","passed","Tue Dec 03 23:50:51 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","16359","H6, H19, B1 to B6, B16 and B17, B35 to B37 - Friend request happy path flow and then Chats Page basic send/receive text message flow","mobile-chrome","Tue Dec 03 23:38:35 GMT 2024","passed","Tue Dec 03 23:38:52 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5617","T1, T2 - Clicking Exit Devmode should exit user out of Devmode","desktop-chrome","Tue Dec 03 23:50:12 GMT 2024","passed","Tue Dec 03 23:50:17 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","15727","H15 - User should be removed from friends list after clicking unfriend","desktop-chrome","Tue Dec 03 23:37:36 GMT 2024","passed","Tue Dec 03 23:37:51 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","17365","B52 and B53 - Sending and receiving files tests","mobile-chrome","Tue Dec 03 23:41:09 GMT 2024","passed","Tue Dec 03 23:41:26 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5416","R8 - Clicking DevMode button 10 times should enable DevMode","mobile-chrome","Tue Dec 03 23:49:57 GMT 2024","passed","Tue Dec 03 23:50:02 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","4726","A15 - User can setup a custom profile picture when creating a new account","desktop-chrome","Tue Dec 03 23:37:01 GMT 2024","passed","Tue Dec 03 23:37:06 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5212","I22 - Clicking copy should copy the Recovery Phrase to the users clipboard","desktop-chrome","Tue Dec 03 23:46:00 GMT 2024","passed","Tue Dec 03 23:46:05 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","12566","A1, A9, A11 - Enter valid PIN redirects to Main Page","mobile-chrome","Tue Dec 03 23:36:10 GMT 2024","passed","Tue Dec 03 23:36:23 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","5963","P1, P2 - User should be able to toggle on/off Dyslexic mode and changes are applied everywhere","mobile-chrome","Tue Dec 03 23:49:05 GMT 2024","passed","Tue Dec 03 23:49:11 GMT 2024","Settings Accessibility Tests","15-settings-accessibility.spec.ts","",""
"","4704","C10 - Textbox should have highlighted border when clicking into Chat Search","desktop-chrome","Tue Dec 03 23:44:28 GMT 2024","passed","Tue Dec 03 23:44:33 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","21978","B67 - Sending and receiving GIFs and gif picker tests","mobile-chrome","Tue Dec 03 23:41:45 GMT 2024","passed","Tue Dec 03 23:42:07 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5201","F14 - If user upload the same file again, file is uploaded but with different filename","desktop-chrome","Tue Dec 03 23:51:35 GMT 2024","passed","Tue Dec 03 23:51:40 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5057","O2, 04 - Clicking a key should activate the Recorded Keys - User can save keybind","desktop-chrome","Tue Dec 03 23:48:36 GMT 2024","passed","Tue Dec 03 23:48:41 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","5256","I21 - Clicking Reveal Phrase should display the users Recovery Phrases","mobile-chrome","Tue Dec 03 23:45:50 GMT 2024","passed","Tue Dec 03 23:45:55 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5946","T6 - Highlighted border should appear around Load MockData when clicked","desktop-chrome","Tue Dec 03 23:50:29 GMT 2024","passed","Tue Dec 03 23:50:35 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","4930","I1 - Banner Picture - Tooltip displayed","mobile-chrome","Tue Dec 03 23:44:24 GMT 2024","passed","Tue Dec 03 23:44:28 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4873","I23 - User should be able to click checkbox to determine whether they want to store Recovery Phrase on account","desktop-chrome","Tue Dec 03 23:46:05 GMT 2024","passed","Tue Dec 03 23:46:10 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4946","I13 - Error message should appear if user tries to input chars that are not allowed or exceeds chars amount","mobile-chrome","Tue Dec 03 23:45:14 GMT 2024","passed","Tue Dec 03 23:45:19 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5059","K14 - User should be able to add additional custom CSS to the application","desktop-chrome","Tue Dec 03 23:47:19 GMT 2024","passed","Tue Dec 03 23:47:24 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","21671","B68 - Sending and receiving stickers and sticker picker tests","mobile-chrome","Tue Dec 03 23:42:07 GMT 2024","passed","Tue Dec 03 23:42:29 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5156","P1, P2 - User should be able to toggle on/off Dyslexic mode and changes are applied everywhere","desktop-chrome","Tue Dec 03 23:49:10 GMT 2024","passed","Tue Dec 03 23:49:15 GMT 2024","Settings Accessibility Tests","15-settings-accessibility.spec.ts","",""
"","5819","I9, I10 - User should be able to change username and see toast notification of change","mobile-chrome","Tue Dec 03 23:44:58 GMT 2024","passed","Tue Dec 03 23:45:04 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","0","T4 - Clicking Clear State should clear users state","desktop-chrome","Tue Dec 03 23:50:23 GMT 2024","skipped","Tue Dec 03 23:50:23 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","25880","B7, B57, B58 - Favorites tests","desktop-chrome","Tue Dec 03 23:38:55 GMT 2024","passed","Tue Dec 03 23:39:21 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4814","M6 - User should be able to toggle on and off Interface Sounds","desktop-chrome","Tue Dec 03 23:48:02 GMT 2024","passed","Tue Dec 03 23:48:07 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","4762","M5 - User should be able to toggle on and off Echo Cancellation","desktop-chrome","Tue Dec 03 23:47:58 GMT 2024","passed","Tue Dec 03 23:48:02 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","4660","F7 - User can create new folders on root","mobile-chrome","Tue Dec 03 23:50:56 GMT 2024","skipped","Tue Dec 03 23:51:00 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5696","I15, I16 - User should be able to change Status Message and see toast notification for update","mobile-chrome","Tue Dec 03 23:45:24 GMT 2024","passed","Tue Dec 03 23:45:30 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
