"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25563","Videocall testing between two users - mute, unmute, fullscreen, expand/collapse call","desktop-chrome","Thu Jan 02 17:08:46 GMT 2025","passed","Thu Jan 02 17:09:11 GMT 2025","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5214","K1 - Language dropdown should display English","mobile-chrome","Thu Jan 02 17:12:52 GMT 2025","passed","Thu Jan 02 17:12:57 GMT 2025","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4895","I22 - Clicking copy should copy the Recovery Phrase to the users clipboard","desktop-chrome","Thu Jan 02 17:11:45 GMT 2025","passed","Thu Jan 02 17:11:50 GMT 2025","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","20072","B52 and B53 - Sending and receiving files tests","mobile-chrome","Thu Jan 02 17:07:16 GMT 2025","passed","Thu Jan 02 17:07:36 GMT 2025","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","1938","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked","mobile-chrome","Thu Jan 02 17:02:47 GMT 2025","passed","Thu Jan 02 17:02:49 GMT 2025","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4481","C5, C6, C7, C8, C9 - Nav bar buttons should redirect to correct page","desktop-chrome","Thu Jan 02 17:10:14 GMT 2025","passed","Thu Jan 02 17:10:18 GMT 2025","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","4531","Q1 - User should be able to toggle on/off Notifications","desktop-chrome","Thu Jan 02 17:14:47 GMT 2025","passed","Thu Jan 02 17:14:52 GMT 2025","Settings Notifications Tests","16-settings-notifications.spec.ts","",""
"","4761","A15 - User can setup a custom profile picture when creating a new account","mobile-chrome","Thu Jan 02 17:03:10 GMT 2025","passed","Thu Jan 02 17:03:15 GMT 2025","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4381","F8 - If user tries to create a folder with empty name or press Esc while name input is displayed, folder is not created","desktop-chrome","Thu Jan 02 17:16:30 GMT 2025","passed","Thu Jan 02 17:16:35 GMT 2025","Files Page Tests","24-files.spec.ts","",""
"","4494","I4 - Clicking upload picture on Profile picture should open File Browser","desktop-chrome","Thu Jan 02 17:10:32 GMT 2025","passed","Thu Jan 02 17:10:36 GMT 2025","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","17854","B51 - Chats Markdowns Tests","desktop-chrome","Thu Jan 02 17:06:50 GMT 2025","passed","Thu Jan 02 17:07:08 GMT 2025","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4145","O10 - Clicking the backwards arrow should revert specific custom keybinding","mobile-chrome","Thu Jan 02 17:15:25 GMT 2025","skipped","Thu Jan 02 17:15:29 GMT 2025","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","4063","U7, U10 - Import Account From File Backup - Seed phrase from file","mobile-chrome","Thu Jan 02 17:10:03 GMT 2025","passed","Thu Jan 02 17:10:07 GMT 2025","Import Account Tests","04-import-account.spec.ts","",""
