"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","MacOS Tests: Settings Profile Tests","","0","0","27","0","0"
"","MacOS Tests: Settings Audio Tests","","0","0","6","0","0"
"","MacOS Tests: Files Screen Tests","","0","0","24","2","0"
"","Message Context Menu Tests","","0","0","14","0","0"
"","Friend Requests and Messages Tests","","0","0","30","0","0"
"","MacOS Tests: Chats Main Screen Tests","","0","0","9","2","0"
"","MacOS Tests: Settings Keyboard Shortcuts Tests","","0","0","12","0","0"
"","MacOS Tests: Create Pin and Account Tests","","0","0","17","3","0"
"","Windows Tests: Create Pin and Account Tests","","0","0","13","3","0"
"","Create Accounts for Chats Tests","","0","0","3","0","0"
"","Message Input Tests","","0","0","15","0","0"
"","MacOS Tests: Settings General Tests","","0","0","8","3","0"
"","Chat Replies Tests","","0","0","11","0","0"
"","MacOS Tests: Settings Message Tests","","0","0","4","0","0"
"","MacOS Tests: Settings Extensions Tests","","0","0","8","1","0"
"","MacOS Tests: Settings Accessibility Tests","","1","0","1","0","0"
