"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Group Chats - Edit Group Tests","","0","0","21","0","0"
"","MacOS Tests: Create Pin and Account Tests","","0","0","32","6","0"
"","Chat Replies Tests","","0","1","6","0","0"
"","Chats Topbar - Tests","","0","1","4","0","0"
"","Create Accounts for Chats Tests","","0","0","28","0","0"
"","Chats Messages With Attachments Tests","","0","1","12","0","0"
"","MacOS Tests: Files Screen Tests","","0","0","24","2","0"
"","Chats Tests - Context Menu","","1","0","8","0","0"
"","MacOS Tests: Settings Extensions Tests","","0","0","8","1","0"
"","MacOS Tests: Chats Main Screen Tests","","0","1","17","4","0"
"","MacOS Tests: Settings Profile Tests","","0","0","27","0","0"
"","MacOS Tests: Settings General Tests","","0","0","8","3","0"
"","MacOS Tests: Settings Message Tests","","0","0","4","0","0"
"","Chats Sidebar - Tests","","0","1","3","0","0"
"","MacOS Tests: Settings Keyboard Shortcuts Tests","","0","1","11","0","0"
"","Group Chats - Main Tests","","0","0","14","1","0"
"","MacOS Tests: Settings Audio Tests","","0","0","6","0","0"
"","Group Chats Sidebar - Tests","","0","1","5","0","0"
"","Chats Message Input Tests","","0","1","1","0","0"
"","Chats Quick Profile - Tests","","0","1","3","0","0"
