"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 22 12:22:08 GMT 2024","Tue Oct 22 12:22:13 GMT 2024","4810","mobile-chrome","24-files.spec.ts","Files Page Tests","","","F3, F4 - Amount of Free and Total should appear in Toolbar",""
"passed","Tue Oct 22 12:08:53 GMT 2024","Tue Oct 22 12:08:56 GMT 2024","2515","mobile-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked",""
"passed","Tue Oct 22 12:21:33 GMT 2024","Tue Oct 22 12:21:38 GMT 2024","4823","desktop-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O5 - Clicking Cancel should cancel any custom keybinding the user was trying to add",""
"passed","Tue Oct 22 12:09:13 GMT 2024","Tue Oct 22 12:09:19 GMT 2024","6372","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A12 - If incorrect pin is entered, error message should be displayed",""
"passed","Tue Oct 22 12:16:15 GMT 2024","Tue Oct 22 12:16:20 GMT 2024","5072","mobile-chrome","07-settings-profile.spec.ts","Settings Profile Tests","","","I5 - Profile picture shows default profile picture until custom profile picture is set",""
"passed","Tue Oct 22 12:09:06 GMT 2024","Tue Oct 22 12:09:13 GMT 2024","6734","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A8 - If Stay Unlocked is toggled on, user should bypass PIN page when logging in",""
"passed","Tue Oct 22 12:08:52 GMT 2024","Tue Oct 22 12:08:54 GMT 2024","2426","desktop-chrome","01-pin-input.spec.ts","Create Account and Login Tests","","","A2 - Pin should have at least 4 digits",""
"passed","Tue Oct 22 12:21:52 GMT 2024","Tue Oct 22 12:21:57 GMT 2024","5638","mobile-chrome","20-settings-developer.spec.ts","Settings Developer Tests","","","T6 - Highlighted border should appear around Load MockData when clicked",""
"passed","Tue Oct 22 12:17:58 GMT 2024","Tue Oct 22 12:18:04 GMT 2024","5540","mobile-chrome","09-settings-customizations.spec.ts","Settings Customization Tests","","","K5 - Font size should have a minimum of .82",""
"passed","Tue Oct 22 12:10:00 GMT 2024","Tue Oct 22 12:10:16 GMT 2024","16194","desktop-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","H15 - User should be removed from friends list after clicking unfriend",""
"passed","Tue Oct 22 12:24:26 GMT 2024","Tue Oct 22 12:24:32 GMT 2024","5354","desktop-chrome","24-files.spec.ts","Files Page Tests","","","F14 - If user upload the same file again, file is uploaded but with different filename",""
"passed","Tue Oct 22 12:20:36 GMT 2024","Tue Oct 22 12:20:41 GMT 2024","5051","mobile-chrome","16-settings-notifications.spec.ts","Settings Notifications Tests","","","Q1 - User should be able to toggle on/off Notifications",""
"passed","Tue Oct 22 12:23:02 GMT 2024","Tue Oct 22 12:23:07 GMT 2024","5749","desktop-chrome","20-settings-developer.spec.ts","Settings Developer Tests","","","T1, T2 - Clicking Exit Devmode should exit user out of Devmode",""
"passed","Tue Oct 22 12:20:33 GMT 2024","Tue Oct 22 12:20:38 GMT 2024","4987","desktop-chrome","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M1 and M2 - Input dropdown and input volume indicator should display",""
"passed","Tue Oct 22 12:20:18 GMT 2024","Tue Oct 22 12:20:23 GMT 2024","4908","desktop-chrome","10-settings-messages.spec.ts","Settings Messages Tests","","","L1 - User should be able to toggle on and off emoji conversion",""
"passed","Tue Oct 22 12:13:51 GMT 2024","Tue Oct 22 12:14:11 GMT 2024","19819","mobile-chrome","03-friends-two-instances.spec.ts","Two instances tests - Friends and Chats","","","B66 - Sending and receiving emojis and emoji picker tests",""
"skipped","Tue Oct 22 12:20:02 GMT 2024","Tue Oct 22 12:20:06 GMT 2024","4645","mobile-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O3 - Action dropdown should display correct keybind actions",""
"skipped","Tue Oct 22 12:20:20 GMT 2024","Tue Oct 22 12:20:25 GMT 2024","4595","mobile-chrome","13-settings-keybinds.spec.ts","Settings Keybinds Tests","","","O9 - Highlighted border should be displayed when clicking Revert Keybindings",""
"skipped","Tue Oct 22 12:23:13 GMT 2024","Tue Oct 22 12:23:13 GMT 2024","0","desktop-chrome","20-settings-developer.spec.ts","Settings Developer Tests","","","T4 - Clicking Clear State should clear users state",""
"passed","Tue Oct 22 12:22:58 GMT 2024","Tue Oct 22 12:23:04 GMT 2024","5297","mobile-chrome","24-files.spec.ts","Files Page Tests","","","F14 - If user upload the same file again, file is uploaded but with different filename",""
"passed","Tue Oct 22 12:17:08 GMT 2024","Tue Oct 22 12:17:13 GMT 2024","4972","desktop-chrome","05-chats-sidebar.spec.ts","Chats Sidebar Tests","","","C4 - Clicking hamburger button should collapse sidebar",""
"passed","Tue Oct 22 12:18:10 GMT 2024","Tue Oct 22 12:18:15 GMT 2024","5232","mobile-chrome","09-settings-customizations.spec.ts","Settings Customization Tests","","","K8 - Clicking the moon button should change theme of the app from Dark to Light",""
"passed","Tue Oct 22 12:21:35 GMT 2024","Tue Oct 22 12:21:41 GMT 2024","5261","mobile-chrome","20-settings-developer.spec.ts","Settings Developer Tests","","","T1, T2 - Clicking Exit Devmode should exit user out of Devmode",""
