"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 13 00:43:03 GMT 2024","Sat Jan 13 00:43:11 GMT 2024","8412","","Windows Tests: Files Screen Tests","","","","Click in the Home button should take you to Home folder",""
"passed","Sat Jan 13 00:45:33 GMT 2024","Sat Jan 13 00:45:40 GMT 2024","6856","","Sidebar Chats Tests","","","","Chat User B - Sidebar - Wait for receiving a a new message",""
"passed","Sat Jan 13 00:46:54 GMT 2024","Sat Jan 13 00:47:02 GMT 2024","7957","","Group Chats Tests","","","","Chat User A - Attempt to create group chat with alphanumeric chars in name",""
"passed","Sat Jan 13 00:38:58 GMT 2024","Sat Jan 13 00:39:00 GMT 2024","2169","","MacOS Tests: Friends Screen Tests","","","","Friends Screen - Displays a badge showing 4 pending requests on Pending Friends Button",""
"passed","Sat Jan 13 00:36:20 GMT 2024","Sat Jan 13 00:36:39 GMT 2024","19155","","Windows Tests: Create Pin and Account Tests","","","","Enter Username Screen - Username with spaces and attempt to continue",""
"skipped","Sat Jan 13 00:34:07 GMT 2024","Sat Jan 13 00:34:07 GMT 2024","1","","Windows Tests: Create Pin and Account Tests","","","","Enter Pin Screen - Enter a pin with more than 32 characters",""
"passed","Sat Jan 13 00:29:41 GMT 2024","Sat Jan 13 00:29:46 GMT 2024","4997","","MacOS Tests: Files Screen Tests","","","","Context Menu - File - Rename",""
"passed","Sat Jan 13 00:58:10 GMT 2024","Sat Jan 13 00:58:33 GMT 2024","22859","","Windows Tests: Settings Profile Tests","","","","Settings Profile - Username with non-alphanumeric characters",""
"passed","Sat Jan 13 01:01:42 GMT 2024","Sat Jan 13 01:01:51 GMT 2024","9334","","Windows Tests: Settings Audio Tests","","","","Settings Audio - Disable switches enabled by default",""
"passed","Sat Jan 13 00:32:34 GMT 2024","Sat Jan 13 00:32:37 GMT 2024","2782","","Chat Replies Tests","","","","Chat User B - Validate reply message group contains timestamp and user image",""
"passed","Sat Jan 13 00:36:35 GMT 2024","Sat Jan 13 00:36:39 GMT 2024","4568","","MacOS Tests: Settings Audio Tests","","","","Settings Audio - Assert screen texts for input/output device and sample rate selection",""
"passed","Sat Jan 13 00:37:47 GMT 2024","Sat Jan 13 00:37:50 GMT 2024","3601","","MacOS Tests: Settings Notifications Tests","","","","Settings Notifications - Enable again all notifications by switching ENABLED toggle to on",""
"passed","Sat Jan 13 00:40:55 GMT 2024","Sat Jan 13 00:40:59 GMT 2024","3439","","MacOS Tests: Friends Screen Tests","","","","Favorites - Remove all users from Favorites - User 2",""
"passed","Sat Jan 13 00:49:00 GMT 2024","Sat Jan 13 00:49:07 GMT 2024","6675","","Group Chats Edit Tests","","","","Edit Group - Validate group name was changed correctly on remote side",""
"passed","Sat Jan 13 00:53:33 GMT 2024","Sat Jan 13 00:54:16 GMT 2024","42899","","Windows Tests: Settings Profile Tests","","","","Settings Profile - Profile Picture - Crop Image and add profile picture",""
"skipped","Sat Jan 13 00:38:38 GMT 2024","Sat Jan 13 00:38:38 GMT 2024","1","","Windows Tests: Chats Main Screen Tests","","","","Validate Main Nav Bar buttons tooltips are displayed",""
"passed","Sat Jan 13 00:38:54 GMT 2024","Sat Jan 13 00:38:56 GMT 2024","2116","","MacOS Tests: Friends Screen Tests","","","","Validate Sidebar is displayed in screen",""
"passed","Sat Jan 13 00:37:30 GMT 2024","Sat Jan 13 00:37:33 GMT 2024","2521","","MacOS Tests: Settings Accessibility Tests","","","","Settings Accessibility - Assert screen texts",""
"passed","Sat Jan 13 00:26:56 GMT 2024","Sat Jan 13 00:27:01 GMT 2024","5061","","MacOS Tests: Create Pin and Account Tests","","","","Enter Pin Screen - Enter a pin with less than 4 characters",""
