"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 23 21:18:11 GMT 2024","Fri Feb 23 21:18:31 GMT 2024","19445","","Chat Replies Tests","","","","Chat User B - Reply to a message",""
"passed","Fri Feb 23 21:03:20 GMT 2024","Fri Feb 23 21:03:21 GMT 2024","1507","","MacOS Tests: Friends Screen Tests","","","","User can type on user search input bar",""
"passed","Fri Feb 23 21:36:36 GMT 2024","Fri Feb 23 21:37:02 GMT 2024","26246","","Quick Profile Tests","","","","""before all"" hook for Quick Profile Tests",""
"passed","Fri Feb 23 20:59:40 GMT 2024","Fri Feb 23 20:59:42 GMT 2024","1848","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Online Status - Status value remains when changing screen",""
"passed","Fri Feb 23 21:06:38 GMT 2024","Fri Feb 23 21:06:45 GMT 2024","6753","","MacOS Tests: Friends Screen Tests","","","","Context Menu - Cancel Outgoing Request",""
"skipped","Fri Feb 23 22:07:13 GMT 2024","Fri Feb 23 22:07:13 GMT 2024","1","","MacOS Tests: Settings About Tests","","","","Settings About - Click on Open Website",""
"skipped","Fri Feb 23 21:02:58 GMT 2024","Fri Feb 23 21:02:58 GMT 2024","0","","MacOS Tests: Settings Developer Tests","","","","Settings Developer - Open folder button",""
"passed","Fri Feb 23 20:54:39 GMT 2024","Fri Feb 23 20:54:39 GMT 2024","722","","MacOS Tests: Files Screen Tests","","","","Validate Nav Bar and buttons are displayed",""
"passed","Fri Feb 23 21:45:58 GMT 2024","Fri Feb 23 21:46:05 GMT 2024","6279","","Group Chats Tests","","","","Group Chat - User B receives the message in group chat",""
"skipped","Fri Feb 23 20:59:55 GMT 2024","Fri Feb 23 20:59:55 GMT 2024","0","","MacOS Tests: Settings General Tests","","","","Settings General - Change language",""
"passed","Fri Feb 23 21:48:38 GMT 2024","Fri Feb 23 21:48:50 GMT 2024","12181","","Group Chats Edit Tests","","","","Group Chat Creator - Contents displayed in add list are correct",""
"passed","Fri Feb 23 21:47:46 GMT 2024","Fri Feb 23 21:48:20 GMT 2024","33980","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Username - Spaces are not allowed",""
"passed","Fri Feb 23 21:40:43 GMT 2024","Fri Feb 23 21:40:44 GMT 2024","1517","","Sidebar Chats Tests","","","","Sidebar - Message preview on Sidebar should not display the message with markdown",""
"skipped","Fri Feb 23 21:01:00 GMT 2024","Fri Feb 23 21:01:00 GMT 2024","1","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Open Extensions Folder",""
"passed","Fri Feb 23 21:25:25 GMT 2024","Fri Feb 23 21:25:33 GMT 2024","7710","","Message Attachments Tests","","","","Send files from Browse Files - No files are displayed on modal and user can close modal",""
"passed","Fri Feb 23 21:02:56 GMT 2024","Fri Feb 23 21:02:57 GMT 2024","1022","","MacOS Tests: Settings Developer Tests","","","","Settings Developer - Save Logs switch",""
"passed","Fri Feb 23 21:34:21 GMT 2024","Fri Feb 23 21:35:31 GMT 2024","69453","","MacOS Tests: Files Screen Tests","","","","Files - Attempt to rename a file with existing file name",""
"passed","Fri Feb 23 21:56:47 GMT 2024","Fri Feb 23 21:57:22 GMT 2024","35407","","MacOS Tests: Settings Extensions Tests","","","","Settings Extensions - Validate that buttons are displayed in front",""
"passed","Fri Feb 23 21:02:42 GMT 2024","Fri Feb 23 21:02:47 GMT 2024","5116","","MacOS Tests: Settings About Tests","","","","Settings About - Validate header and description texts from settings sections",""
"passed","Fri Feb 23 22:10:49 GMT 2024","Fri Feb 23 22:11:05 GMT 2024","16277","","MacOS Tests: Import Account Tests","","","","Save Recovery Seed Screen - Attempt to enter invalid recovery seed",""
"skipped","Fri Feb 23 21:52:44 GMT 2024","Fri Feb 23 21:52:44 GMT 2024","9","","Group Chats Favorites and Sidebar Tests","","","","Group Chat - Sidebar - Delete group",""
"passed","Fri Feb 23 21:04:00 GMT 2024","Fri Feb 23 21:04:03 GMT 2024","2548","","MacOS Tests: Friends Screen Tests","","","","Switch to Pending Friends view and validate elements displayed",""
"passed","Fri Feb 23 21:02:04 GMT 2024","Fri Feb 23 21:02:08 GMT 2024","4513","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Keybind Shortcuts - Validate default keybinds for Increase/Decrease Font Size are working",""
"passed","Fri Feb 23 21:36:09 GMT 2024","Fri Feb 23 21:37:50 GMT 2024","101603","","MacOS Tests: Files Screen Tests","","","","Files - Attempt to create a folder with existing folder name",""
"passed","Fri Feb 23 21:18:44 GMT 2024","Fri Feb 23 21:18:52 GMT 2024","7929","","Chat Replies Tests","","","","Chat User A - Validate reply message contents",""
"passed","Fri Feb 23 20:54:31 GMT 2024","Fri Feb 23 20:54:37 GMT 2024","5933","","MacOS Tests: Chats Main Screen Tests","","","","Slimbar - User can click on buttons from main navigation on slimbar",""
"passed","Fri Feb 23 21:48:54 GMT 2024","Fri Feb 23 21:49:35 GMT 2024","41601","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Username with more than 32 characters",""
