"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4529","I11 - All text in Username should be selected after clicking into the text field a single time","desktop-chrome","Thu Dec 26 18:10:20 GMT 2024","passed","Thu Dec 26 18:10:25 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4462","M10 - User should be able to test video device","desktop-chrome","Thu Dec 26 18:14:39 GMT 2024","passed","Thu Dec 26 18:14:44 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","5008","K16 - Selected Emoji Font should be applied everywhere throughout the app","mobile-chrome","Thu Dec 26 18:14:38 GMT 2024","passed","Thu Dec 26 18:14:43 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5025","F7 - User can create new folders on root","mobile-chrome","Thu Dec 26 18:18:13 GMT 2024","passed","Thu Dec 26 18:18:18 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","17480","B22 and B50 - Reaction Tests","desktop-chrome","Thu Dec 26 18:00:03 GMT 2024","failed","Thu Dec 26 18:00:21 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4613","H10, H27, H28, H29 - Copy Button Tests","desktop-chrome","Thu Dec 26 17:48:40 GMT 2024","passed","Thu Dec 26 17:48:45 GMT 2024","Friends tests","02-friends-one-instance.spec.ts","",""
"","5579","K3 - Selected Fonts should be applied everywhere throughout the app","mobile-chrome","Thu Dec 26 18:13:48 GMT 2024","passed","Thu Dec 26 18:13:54 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","18105","B18 and B19, B23 to B25 - Chats Context Menu tests","mobile-chrome","Thu Dec 26 17:58:21 GMT 2024","failed","Thu Dec 26 17:58:39 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4616","F6, F11 -Clicking Upload should then open up the OS files browser and user can upload files in root folder","desktop-chrome","Thu Dec 26 18:17:05 GMT 2024","passed","Thu Dec 26 18:17:10 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","6373","F12 - User can upload files in subfolder folder","mobile-chrome","Thu Dec 26 18:18:38 GMT 2024","passed","Thu Dec 26 18:18:44 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5428","K5 - Font size should have a minimum of .82","mobile-chrome","Thu Dec 26 18:13:54 GMT 2024","passed","Thu Dec 26 18:13:59 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4948","Q2 - User should be able to toggle on/off Friend Request Notifications","mobile-chrome","Thu Dec 26 18:16:34 GMT 2024","passed","Thu Dec 26 18:16:39 GMT 2024","Settings Notifications Tests","16-settings-notifications.spec.ts","",""
"","4610","A15 - User can setup a custom profile picture when creating a new account","mobile-chrome","Thu Dec 26 17:48:13 GMT 2024","passed","Thu Dec 26 17:48:18 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","6537","F10 - User can create subfolders and navigate to parent folder with go back button","mobile-chrome","Thu Dec 26 18:18:31 GMT 2024","passed","Thu Dec 26 18:18:38 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","4277","O8 - Clicking Revert Keybindings should revert any custom keybindings the user has saved","mobile-chrome","Thu Dec 26 18:16:09 GMT 2024","skipped","Thu Dec 26 18:16:14 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","4454","I4 - Clicking upload picture on Profile picture should open File Browser","desktop-chrome","Thu Dec 26 18:09:12 GMT 2024","passed","Thu Dec 26 18:09:16 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","4485","N1 - User should land on Installed when navigating to this page","desktop-chrome","Thu Dec 26 18:14:44 GMT 2024","passed","Thu Dec 26 18:14:48 GMT 2024","Settings Extensions Tests","12-settings-extensions.spec.ts","",""
"","4969","R1 - ""About Uplink"" should appear at top of page","mobile-chrome","Thu Dec 26 18:16:48 GMT 2024","passed","Thu Dec 26 18:16:53 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","4377","A14 - If Stay Unlocked is toggled on, user should be redirected to enter PIN after logging off","desktop-chrome","Thu Dec 26 17:48:08 GMT 2024","passed","Thu Dec 26 17:48:12 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4857","F8 - If user tries to create a folder with empty name or press Esc while name input is displayed, folder is not created","mobile-chrome","Thu Dec 26 18:18:18 GMT 2024","passed","Thu Dec 26 18:18:23 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","4207","O5 - Clicking Cancel should cancel any custom keybinding the user was trying to add","mobile-chrome","Thu Dec 26 18:16:01 GMT 2024","skipped","Thu Dec 26 18:16:05 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","5414","T8 - Clicking Test Voice State should open debug voice page","desktop-chrome","Thu Dec 26 18:16:50 GMT 2024","passed","Thu Dec 26 18:16:56 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","0","K15 - Emoji Font dropdown should show expected emoji font names","desktop-chrome","Thu Dec 26 18:13:45 GMT 2024","skipped","Thu Dec 26 18:13:45 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4777","F10 - User can create subfolders and navigate to parent folder with go back button","desktop-chrome","Thu Dec 26 18:17:23 GMT 2024","passed","Thu Dec 26 18:17:28 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","4409","I19 - Status dropdown should show Online, Offline, Idle, Do not Disturb","desktop-chrome","Thu Dec 26 18:11:34 GMT 2024","passed","Thu Dec 26 18:11:39 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","1640","A19 - Install Banner validations - Dismiss banner","mobile-chrome","Thu Dec 26 17:48:35 GMT 2024","passed","Thu Dec 26 17:48:36 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4127","A15 - User can setup a custom profile picture when creating a new account","desktop-chrome","Thu Dec 26 17:48:12 GMT 2024","passed","Thu Dec 26 17:48:17 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4831","C4 - Clicking hamburger button should collapse sidebar","desktop-chrome","Thu Dec 26 18:08:40 GMT 2024","passed","Thu Dec 26 18:08:45 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","2","B8 to B14 - Quick Profile Local and Remote -  Updating note","mobile-chrome","Thu Dec 26 17:57:38 GMT 2024","skipped","Thu Dec 26 17:57:38 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5013","F12 - User can upload files in subfolder folder","desktop-chrome","Thu Dec 26 18:17:28 GMT 2024","passed","Thu Dec 26 18:17:33 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","4376","O3 - Action dropdown should display correct keybind actions","desktop-chrome","Thu Dec 26 18:14:58 GMT 2024","passed","Thu Dec 26 18:15:02 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","6646","R4 - Clicking Open Website should take you to the Uplink website","desktop-chrome","Thu Dec 26 18:15:56 GMT 2024","passed","Thu Dec 26 18:16:03 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","5770","R5 - Clicking Open Source Code should take you to the source code","mobile-chrome","Thu Dec 26 18:17:04 GMT 2024","passed","Thu Dec 26 18:17:10 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","0","K18 - Default Profile Picture Style dropdown should show expected default profile picture styles","mobile-chrome","Thu Dec 26 18:14:43 GMT 2024","skipped","Thu Dec 26 18:14:43 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4427","M5 - User should be able to toggle on and off Echo Cancellation","desktop-chrome","Thu Dec 26 18:14:17 GMT 2024","passed","Thu Dec 26 18:14:21 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","4297","O3 - Action dropdown should display correct keybind actions","mobile-chrome","Thu Dec 26 18:15:57 GMT 2024","skipped","Thu Dec 26 18:16:01 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","5842","S1 - Clicking View License should take user to our licenses page","mobile-chrome","Thu Dec 26 18:17:20 GMT 2024","passed","Thu Dec 26 18:17:26 GMT 2024","Settings Licenses Tests","19-settings-licenses.spec.ts","",""
"","5476","T7 - Highlighted border should appear around Clear State when clicked","desktop-chrome","Thu Dec 26 18:16:45 GMT 2024","passed","Thu Dec 26 18:16:50 GMT 2024","Settings Developer Tests","20-settings-developer.spec.ts","",""
"","5003","R2 - Current version of Uplink should be displayed","mobile-chrome","Thu Dec 26 18:16:53 GMT 2024","passed","Thu Dec 26 18:16:58 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","2066","A2 - Pin should have at least 4 digits","desktop-chrome","Thu Dec 26 17:47:43 GMT 2024","passed","Thu Dec 26 17:47:45 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","0","K2 - Font dropdown should show expected font names","mobile-chrome","Thu Dec 26 18:13:48 GMT 2024","skipped","Thu Dec 26 18:13:48 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","4440","C3 - Hovering over Nav buttons should show tooltips","desktop-chrome","Thu Dec 26 18:08:35 GMT 2024","passed","Thu Dec 26 18:08:40 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","4502","Q1 - User should be able to toggle on/off Notifications","desktop-chrome","Thu Dec 26 18:15:29 GMT 2024","passed","Thu Dec 26 18:15:34 GMT 2024","Settings Notifications Tests","16-settings-notifications.spec.ts","",""
"","1","B8 to B14 - Quick Profile Local - Updating username, status, banner and profile picture","mobile-chrome","Thu Dec 26 17:57:38 GMT 2024","skipped","Thu Dec 26 17:57:38 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4949","I6 - Username should be displayed in the Username textbox","mobile-chrome","Thu Dec 26 18:09:54 GMT 2024","passed","Thu Dec 26 18:09:59 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","20856","Group Chats - Create a group with 3 people and send/receive text message flow","desktop-chrome","Thu Dec 26 18:08:05 GMT 2024","failed","Thu Dec 26 18:08:26 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","18164","B49 and B56 - Chats Tests - Multiple messages testing - Scroll to bottom and Go to pin message buttons","mobile-chrome","Thu Dec 26 17:57:20 GMT 2024","failed","Thu Dec 26 17:57:38 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","6472","P1, P2 - User should be able to toggle on/off Dyslexic mode and changes are applied everywhere","mobile-chrome","Thu Dec 26 18:16:22 GMT 2024","passed","Thu Dec 26 18:16:29 GMT 2024","Settings Accessibility Tests","15-settings-accessibility.spec.ts","",""
"","5702","H1, H2, H3, H4, H5, H8 - Navigate through friends pages and validate UI elements","mobile-chrome","Thu Dec 26 17:48:36 GMT 2024","passed","Thu Dec 26 17:48:42 GMT 2024","Friends tests","02-friends-one-instance.spec.ts","",""
"","17944","B51 - Chats Markdowns Tests","mobile-chrome","Thu Dec 26 18:01:22 GMT 2024","failed","Thu Dec 26 18:01:40 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5017","F14 - If user upload the same file again, file is uploaded but with different filename","desktop-chrome","Thu Dec 26 18:20:36 GMT 2024","passed","Thu Dec 26 18:20:41 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","1825","A6, A7 - Scramble Keypad will change the order of pin input buttons","desktop-chrome","Thu Dec 26 17:47:52 GMT 2024","passed","Thu Dec 26 17:47:54 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4699","C10 - Textbox should have highlighted border when clicking into Chat Search","desktop-chrome","Thu Dec 26 18:08:58 GMT 2024","passed","Thu Dec 26 18:09:03 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","18099","B68 - Sending and receiving stickers and sticker picker tests","mobile-chrome","Thu Dec 26 18:05:24 GMT 2024","failed","Thu Dec 26 18:05:42 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4467","O7 - Highlighted border should display when user clicks cancel","desktop-chrome","Thu Dec 26 18:15:06 GMT 2024","passed","Thu Dec 26 18:15:11 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","17482","H15 - User should be removed from friends list after clicking unfriend","desktop-chrome","Thu Dec 26 17:50:11 GMT 2024","failed","Thu Dec 26 17:50:29 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5013","I23 - User should be able to click checkbox to determine whether they want to store Recovery Phrase on account","mobile-chrome","Thu Dec 26 18:13:18 GMT 2024","passed","Thu Dec 26 18:13:23 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","3991","A13 - If Stay Unlocked is toggled off, user be redirected to enter PIN when refreshing page","mobile-chrome","Thu Dec 26 17:48:04 GMT 2024","passed","Thu Dec 26 17:48:08 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","17986","Chat Replies Tests","mobile-chrome","Thu Dec 26 18:06:25 GMT 2024","failed","Thu Dec 26 18:06:43 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4429","M7 - User should be able to toggle on and off Control Sounds","desktop-chrome","Thu Dec 26 18:14:26 GMT 2024","passed","Thu Dec 26 18:14:30 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","4662","A14 - If Stay Unlocked is toggled on, user should be redirected to enter PIN after logging off","mobile-chrome","Thu Dec 26 17:48:08 GMT 2024","passed","Thu Dec 26 17:48:13 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","21355","Group Chats - Create a group with 3 people and send/receive text message flow","mobile-chrome","Thu Dec 26 18:08:34 GMT 2024","failed","Thu Dec 26 18:08:55 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","3326","A3 - Pin cannot have more than 8 digits","mobile-chrome","Thu Dec 26 17:47:45 GMT 2024","passed","Thu Dec 26 17:47:48 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","17440","H7, H20 - User can send a friend request and remote user can deny it","desktop-chrome","Thu Dec 26 17:52:10 GMT 2024","failed","Thu Dec 26 17:52:28 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4968","M9 - User should be able to toggle on and off Call Timer","mobile-chrome","Thu Dec 26 18:15:33 GMT 2024","passed","Thu Dec 26 18:15:38 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","2660","A4 - Clicking red reset button should erase any inputs made","desktop-chrome","Thu Dec 26 17:47:48 GMT 2024","passed","Thu Dec 26 17:47:51 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
