"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Group Chats Edit Tests","","0","0","22","0","0"
"","MacOS Tests: Create Pin and Account Tests","","0","0","32","6","0"
"","Quick Profile Tests","","0","0","12","0","0"
"","Chat Replies Tests","","0","0","11","0","0"
"","Group Chats Tests","","0","0","15","1","0"
"","Message Input Tests","","0","0","22","2","0"
"","Message Context Menu Tests","","0","0","14","0","0"
"","Create Accounts and Chat Tests","","0","0","29","0","0"
"","Message Attachments Tests","","0","0","23","0","0"
"","Sidebar Chats Tests","","0","0","21","0","0"
"","Group Chats Favorites and Sidebar Tests","","0","0","17","0","0"
"","Chat Topbar Tests","","0","0","10","0","0"
"","Group Chats Multiple Users Tests","","0","0","9","0","0"
"","MacOS Tests: Chats Main Screen Tests","","0","2","0","0","0"
