"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 07 16:30:59 GMT 2024","Wed Aug 07 16:30:59 GMT 2024","370","Automated Tests on Chrome Desktop","07-settings-profile.spec.ts","Settings Profile Tests","","","I18 - Error message should appear if user inputs chars that are not allowed or exceeds limit",""
"skipped","Wed Aug 07 16:28:33 GMT 2024","Wed Aug 07 16:28:33 GMT 2024","0","Automated Tests on Chrome Desktop","01-pin-input.spec.ts","Create Account and Login Tests","","","A12 - If incorrect pin is entered, error message should be displayed",""
"skipped","Wed Aug 07 16:32:54 GMT 2024","Wed Aug 07 16:32:54 GMT 2024","1","Automated Tests on Chrome Desktop","14-settings-gamepad.spec.ts","Settings Extensions Tests","","","Simulate gamepad left button press",""
"failed","Wed Aug 07 16:33:16 GMT 2024","Wed Aug 07 16:33:16 GMT 2024","302","Automated Tests on Chrome Desktop","18-settings-about.spec.ts","Settings About Tests","","","R4 - Clicking Open Website should take you to the Uplink website",""
"failed","Wed Aug 07 16:29:48 GMT 2024","Wed Aug 07 16:29:49 GMT 2024","792","Automated Tests on Chrome Desktop","03-friends-two-instances.spec.ts","Friends tests","","","H7, H20 - User can send a friend request and remote user can deny it",""
"failed","Wed Aug 07 16:32:13 GMT 2024","Wed Aug 07 16:32:14 GMT 2024","378","Automated Tests on Chrome Desktop","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M5 - User should be able to toggle on and off Echo Cancellation",""
"failed","Wed Aug 07 16:34:00 GMT 2024","Wed Aug 07 16:34:01 GMT 2024","178","Automated Tests on Chrome Desktop","24-files.spec.ts","Files Page Tests","","","F10 - User can create subfolders and navigate to parent folder with go back button",""
"failed","Wed Aug 07 16:33:58 GMT 2024","Wed Aug 07 16:33:59 GMT 2024","203","Automated Tests on Chrome Desktop","24-files.spec.ts","Files Page Tests","","","F9 - User cannot create directories with existing name - Toast notification is shown",""
"failed","Wed Aug 07 16:28:20 GMT 2024","Wed Aug 07 16:28:20 GMT 2024","401","Automated Tests on Chrome Desktop","01-pin-input.spec.ts","Create Account and Login Tests","","","A6, A7 - Scramble Keypad will change the order of pin input buttons",""
"skipped","Wed Aug 07 16:33:43 GMT 2024","Wed Aug 07 16:33:43 GMT 2024","0","Automated Tests on Chrome Desktop","22-chats-tests.spec.ts","Chats Tests - Two instances","","","B1 - Send text message to remote user - Message is displayed on local and remote users",""
"failed","Wed Aug 07 16:30:07 GMT 2024","Wed Aug 07 16:30:07 GMT 2024","405","Automated Tests on Chrome Desktop","05-chats-sidebar.spec.ts","Chats Sidebar Tests","","","C2 - Hovering over Create Chat should show tooltips",""
"skipped","Wed Aug 07 16:34:03 GMT 2024","Wed Aug 07 16:34:03 GMT 2024","1","Automated Tests on Chrome Desktop","24-files.spec.ts","Files Page Tests","","","F13 - Files and folders are still visible after logging out and login again",""
"failed","Wed Aug 07 16:29:04 GMT 2024","Wed Aug 07 16:29:05 GMT 2024","357","Automated Tests on Chrome Desktop","02-friends-one-instance.spec.ts","Friends tests","","","H22, H23, H24, H25 - Invalid attempts for sending friend request",""
"failed","Wed Aug 07 16:32:57 GMT 2024","Wed Aug 07 16:32:57 GMT 2024","298","Automated Tests on Chrome Desktop","15-settings-accessibility.spec.ts","Settings Accessibility Tests","","","P1, P2 - User should be able to toggle on/off Dyslexic mode and changes are applied everywhere",""
"failed","Wed Aug 07 16:32:31 GMT 2024","Wed Aug 07 16:32:32 GMT 2024","411","Automated Tests on Chrome Desktop","12-settings-extensions.spec.ts","Settings Extensions Tests","","","N1 - User should land on Installed when navigating to this page",""
"failed","Wed Aug 07 16:31:02 GMT 2024","Wed Aug 07 16:31:02 GMT 2024","306","Automated Tests on Chrome Desktop","07-settings-profile.spec.ts","Settings Profile Tests","","","I19 - Status dropdown should show Online, Offline, Idle, Do not Disturb",""
"failed","Wed Aug 07 16:33:46 GMT 2024","Wed Aug 07 16:33:47 GMT 2024","504","Automated Tests on Chrome Desktop","24-files.spec.ts","Files Page Tests","","","F3, F4 - Amount of Free and Total should appear in Toolbar",""
"failed","Wed Aug 07 16:28:57 GMT 2024","Wed Aug 07 16:28:58 GMT 2024","343","Automated Tests on Chrome Desktop","02-friends-one-instance.spec.ts","Friends tests","","","H10, H27, H28, H29 - Copy Button Tests",""
"failed","Wed Aug 07 16:32:08 GMT 2024","Wed Aug 07 16:32:08 GMT 2024","270","Automated Tests on Chrome Desktop","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M1 and M2 - Input dropdown and input volume indicator should display",""
"skipped","Wed Aug 07 16:31:40 GMT 2024","Wed Aug 07 16:31:40 GMT 2024","0","Automated Tests on Chrome Desktop","09-settings-customizations.spec.ts","Settings Customization Tests","","","K8 - Clicking the moon button should change theme of the app from Dark to Light",""
"failed","Wed Aug 07 16:30:03 GMT 2024","Wed Aug 07 16:30:03 GMT 2024","374","Automated Tests on Chrome Desktop","05-chats-sidebar.spec.ts","Chats Sidebar Tests","","","C1 - Clicking Create Chat should open modal with option for Group Name and Group Members",""
"failed","Wed Aug 07 16:30:20 GMT 2024","Wed Aug 07 16:30:20 GMT 2024","301","Automated Tests on Chrome Desktop","05-chats-sidebar.spec.ts","Chats Sidebar Tests","","","C10 - Textbox should have highlighted border when clicking into Chat Search",""
"failed","Wed Aug 07 16:31:18 GMT 2024","Wed Aug 07 16:31:19 GMT 2024","279","Automated Tests on Chrome Desktop","08-settings-inventory.spec.ts","Settings Inventory Tests","","","J2 - After user selects Profile Picture Frame it should be properly displayed everywhere in the app where the user's profile picture appears",""
"failed","Wed Aug 07 16:31:55 GMT 2024","Wed Aug 07 16:31:55 GMT 2024","308","Automated Tests on Chrome Desktop","09-settings-customizations.spec.ts","Settings Customization Tests","","","K14 - User should be able to add additional custom CSS to the application",""
"failed","Wed Aug 07 16:30:10 GMT 2024","Wed Aug 07 16:30:10 GMT 2024","355","Automated Tests on Chrome Desktop","05-chats-sidebar.spec.ts","Chats Sidebar Tests","","","C3 - Hovering over Nav buttons should show tooltips",""
"failed","Wed Aug 07 16:31:39 GMT 2024","Wed Aug 07 16:31:39 GMT 2024","361","Automated Tests on Chrome Desktop","09-settings-customizations.spec.ts","Settings Customization Tests","","","K6, K7 - Font size should have a maximum of 1.50 and can be applied correctly everywhere through the app",""
"failed","Wed Aug 07 16:33:54 GMT 2024","Wed Aug 07 16:33:54 GMT 2024","251","Automated Tests on Chrome Desktop","24-files.spec.ts","Files Page Tests","","","F7 - User can create new folders on root",""
"failed","Wed Aug 07 16:31:08 GMT 2024","Wed Aug 07 16:31:09 GMT 2024","396","Automated Tests on Chrome Desktop","07-settings-profile.spec.ts","Settings Profile Tests","","","I21 - Clicking Reveal Phrase should display the users Recovery Phrases",""
"failed","Wed Aug 07 16:28:01 GMT 2024","Wed Aug 07 16:28:01 GMT 2024","324","Automated Tests on Chrome Desktop","01-pin-input.spec.ts","Create Account and Login Tests","","","A3 - Pin cannot have more than 8 digits",""
"failed","Wed Aug 07 16:30:53 GMT 2024","Wed Aug 07 16:30:53 GMT 2024","314","Automated Tests on Chrome Desktop","07-settings-profile.spec.ts","Settings Profile Tests","","","I15, I16 - User should be able to change Status Message and see toast notification for update",""
"failed","Wed Aug 07 16:27:48 GMT 2024","Wed Aug 07 16:27:48 GMT 2024","281","Automated Tests on Chrome Desktop","01-pin-input.spec.ts","Create Account and Login Tests","","","A1, A9, A11 - Enter valid PIN redirects to Main Page",""
"failed","Wed Aug 07 16:30:49 GMT 2024","Wed Aug 07 16:30:50 GMT 2024","309","Automated Tests on Chrome Desktop","07-settings-profile.spec.ts","Settings Profile Tests","","","I14 - Highlighted border should appear when user is clicked into Status textbox",""
"failed","Wed Aug 07 16:33:04 GMT 2024","Wed Aug 07 16:33:04 GMT 2024","251","Automated Tests on Chrome Desktop","16-settings-notifications.spec.ts","Settings Notifications Tests","","","Q3 - User should be able to toggle on/off Message Notifications",""
"failed","Wed Aug 07 16:33:34 GMT 2024","Wed Aug 07 16:33:35 GMT 2024","234","Automated Tests on Chrome Desktop","20-settings-developer.spec.ts","Settings Developer Tests","","","T5 - Highlighted border should appear around Exit DevMode when clicked",""
"skipped","Wed Aug 07 16:31:43 GMT 2024","Wed Aug 07 16:31:43 GMT 2024","0","Automated Tests on Chrome Desktop","09-settings-customizations.spec.ts","Settings Customization Tests","","","K10 - Themes folder button should open the themes folder",""
"failed","Wed Aug 07 16:30:24 GMT 2024","Wed Aug 07 16:30:24 GMT 2024","260","Automated Tests on Chrome Desktop","07-settings-profile.spec.ts","Settings Profile Tests","","","I1 - Banner Picture - Tooltip displayed",""
"failed","Wed Aug 07 16:28:38 GMT 2024","Wed Aug 07 16:28:39 GMT 2024","292","Automated Tests on Chrome Desktop","01-pin-input.spec.ts","Create Account and Login Tests","","","A13 - If Stay Unlocked is toggled off, user be redirected to enter PIN when refreshing page",""
"failed","Wed Aug 07 16:34:02 GMT 2024","Wed Aug 07 16:34:03 GMT 2024","198","Automated Tests on Chrome Desktop","24-files.spec.ts","Files Page Tests","","","F12 - User can upload files in subfolder folder",""
"failed","Wed Aug 07 16:31:58 GMT 2024","Wed Aug 07 16:31:59 GMT 2024","249","Automated Tests on Chrome Desktop","10-settings-messages.spec.ts","Settings Messages Tests","","","L1 - User should be able to toggle on and off emoji conversion",""
"failed","Wed Aug 07 16:31:15 GMT 2024","Wed Aug 07 16:31:15 GMT 2024","334","Automated Tests on Chrome Desktop","08-settings-inventory.spec.ts","Settings Inventory Tests","","","J1 - Page should display items purchased from Marketplace",""
"failed","Wed Aug 07 16:28:13 GMT 2024","Wed Aug 07 16:28:14 GMT 2024","347","Automated Tests on Chrome Desktop","01-pin-input.spec.ts","Create Account and Login Tests","","","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked",""
"failed","Wed Aug 07 16:32:22 GMT 2024","Wed Aug 07 16:32:23 GMT 2024","331","Automated Tests on Chrome Desktop","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M8 - User should be able to toggle on and off Message Sounds",""
"failed","Wed Aug 07 16:32:25 GMT 2024","Wed Aug 07 16:32:25 GMT 2024","289","Automated Tests on Chrome Desktop","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M9 - User should be able to toggle on and off Call Timer",""
"failed","Wed Aug 07 16:30:29 GMT 2024","Wed Aug 07 16:30:29 GMT 2024","302","Automated Tests on Chrome Desktop","07-settings-profile.spec.ts","Settings Profile Tests","","","I4 - Clicking upload picture on Profile picture should open File Browser",""
"skipped","Wed Aug 07 16:31:32 GMT 2024","Wed Aug 07 16:31:32 GMT 2024","0","Automated Tests on Chrome Desktop","09-settings-customizations.spec.ts","Settings Customization Tests","","","K4 - Clicking OpenFolder should open the Fonts folder",""
"failed","Wed Aug 07 16:33:49 GMT 2024","Wed Aug 07 16:33:50 GMT 2024","301","Automated Tests on Chrome Desktop","24-files.spec.ts","Files Page Tests","","","F5 - Highlighted border should appaer when you click Create New Folder",""
"failed","Wed Aug 07 16:32:19 GMT 2024","Wed Aug 07 16:32:20 GMT 2024","313","Automated Tests on Chrome Desktop","11-settings-audio-video.spec.ts","Settings Audio and Video Tests","","","M7 - User should be able to toggle on and off Control Sounds",""
