"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5526","I1 - Banner Picture - Tooltip displayed","mobile-chrome","Thu Dec 12 14:00:00 GMT 2024","passed","Thu Dec 12 14:00:06 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5258","O9 - Highlighted border should be displayed when clicking Revert Keybindings","desktop-chrome","Thu Dec 12 14:04:20 GMT 2024","passed","Thu Dec 12 14:04:26 GMT 2024","Settings Keybinds Tests","13-settings-keybinds.spec.ts","",""
"","5274","C3 - Hovering over Nav buttons should show tooltips","mobile-chrome","Thu Dec 12 13:59:38 GMT 2024","passed","Thu Dec 12 13:59:43 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","19554","B51 - Chats Markdowns Tests","desktop-chrome","Thu Dec 12 13:56:10 GMT 2024","passed","Thu Dec 12 13:56:29 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","8271","H22, H23, H24, H25 - Invalid attempts for sending friend request","desktop-chrome","Thu Dec 12 13:52:43 GMT 2024","passed","Thu Dec 12 13:52:51 GMT 2024","Friends tests","02-friends-one-instance.spec.ts","",""
"","5102","K16 - Selected Emoji Font should be applied everywhere throughout the app","desktop-chrome","Thu Dec 12 14:02:40 GMT 2024","passed","Thu Dec 12 14:02:45 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5209","I21 - Clicking Reveal Phrase should display the users Recovery Phrases","desktop-chrome","Thu Dec 12 14:01:07 GMT 2024","passed","Thu Dec 12 14:01:12 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5295","F5 - Highlighted border should appaer when you click Create New Folder","desktop-chrome","Thu Dec 12 14:06:15 GMT 2024","passed","Thu Dec 12 14:06:20 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","4893","F8 - If user tries to create a folder with empty name or press Esc while name input is displayed, folder is not created","desktop-chrome","Thu Dec 12 14:06:30 GMT 2024","passed","Thu Dec 12 14:06:35 GMT 2024","Files Page Tests","24-files.spec.ts","",""
"","5060","M10 - User should be able to test video device","desktop-chrome","Thu Dec 12 14:03:40 GMT 2024","passed","Thu Dec 12 14:03:45 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
