"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 18:35:07 GMT 2024","Thu Apr 11 18:35:29 GMT 2024","21467","","Message Attachments Tests","","","","Chat Messages with Files - Local user can download file sent",""
"passed","Thu Apr 11 19:12:00 GMT 2024","Thu Apr 11 19:12:00 GMT 2024","584","","Windows Tests: Settings Profile Tests","","","","Settings Profile - Right Click On Copy ID Button to Copy Username",""
"passed","Thu Apr 11 19:24:59 GMT 2024","Thu Apr 11 19:25:30 GMT 2024","30328","","Windows Tests: Settings Extensions Tests","","","","Settings Extensions - Go to Explore panel and assert contents",""
"passed","Thu Apr 11 18:37:38 GMT 2024","Thu Apr 11 18:37:42 GMT 2024","4838","","MacOS Tests: Settings Profile Tests","","","","Settings Profile - Username with non-alphanumeric characters",""
"passed","Thu Apr 11 18:30:39 GMT 2024","Thu Apr 11 18:30:44 GMT 2024","5341","","MacOS Tests: Files Screen Tests","","","","Create a new folder and enter to it",""
"passed","Thu Apr 11 18:55:29 GMT 2024","Thu Apr 11 18:55:59 GMT 2024","29910","","Windows Tests: Files Screen Tests","","","","Context Menu - Folder - Delete",""
"passed","Thu Apr 11 19:05:27 GMT 2024","Thu Apr 11 19:05:44 GMT 2024","17384","","Windows Tests: Settings Profile Tests","","","","Settings Profile - Assert screen and placeholder texts",""
"passed","Thu Apr 11 18:42:36 GMT 2024","Thu Apr 11 18:42:37 GMT 2024","1204","","Sidebar Chats Tests","","","","Chat User B - Sidebar - If user deletes chat on remote side, it will be removed on local side as well",""
"passed","Thu Apr 11 18:40:07 GMT 2024","Thu Apr 11 18:40:31 GMT 2024","24193","","MacOS Tests: Settings Keyboard Shortcuts Tests","","","","Settings Keyboard Shortcuts - Validate default keybinds are displayed",""
"passed","Thu Apr 11 19:04:09 GMT 2024","Thu Apr 11 19:04:34 GMT 2024","24807","","Windows Tests: Settings Profile Tests","","","","Validate Pre Release Indicator is displayed and has correct text",""
"passed","Thu Apr 11 18:30:32 GMT 2024","Thu Apr 11 18:30:34 GMT 2024","1885","","MacOS Tests: Files Screen Tests","","","","Validate Pre Release Indicator is displayed and has correct text",""
"passed","Thu Apr 11 18:41:46 GMT 2024","Thu Apr 11 18:41:56 GMT 2024","10044","","Sidebar Chats Tests","","","","Chat User A - Sidebar - Persists between different sections of the app - Files Screen",""
